Date,Sales,,,,,,,,,
1/31/2015,"4,173",2015,Enero,Ganancia,Ventas,Cantida ,Ventas,Cantidad de Inventario,Variables categoricas,Cantidad Vendido 
2/28/2015,"10,667",,,,,,,,,
3/31/2015,797,,,,,,,,,
4/30/2015,"2,808",,,,,,,,,
5/31/2015,"5,886",,,,,,,,,
6/30/2015,"4,308",,,,,,,,,
7/31/2015,"6,465",,,,,,,,,
8/31/2015,"1,574",,,,,,,,,
9/30/2015,"1,779",,,,,,,,,
10/31/2015,"40,213",,,,,,,,,
11/30/2015,"20,788",,,,,,,,,
12/31/2015,"32,856",,,,,,,,,
1/31/2016,"32,940",,,,,,,,,
2/29/2016,"38,319",,,,,,,,,
3/31/2016,"22,582",,,,,,,,,
4/30/2016,"6,990",,,,,,,,,
5/31/2016,"3,918",,,,,,,,,
6/30/2016,"3,807",,,,,,,,,
7/31/2016,"2,846",,,,,,,,,
8/31/2016,"1,125",,,,,,,,,
9/30/2016,"125,842",,,,,,,,,
10/31/2016,"12,038",,,,,,,,,
11/30/2016,"102,162",,,,,,,,,
12/31/2016,"28,612",,,,,,,,,
1/31/2017,"5,054",,,,,,,,,
2/28/2017,"70,979",,,,,,,,,
3/31/2017,"4,751",,,,,,,,,
4/30/2017,"5,164",,,,,,,,,
5/31/2017,"1,807",,,,,,,,,
6/30/2017,"3,582",,,,,,,,,
7/31/2017,"2,195",,,,,,,,,
8/31/2017,"2,564",,,,,,,,,
9/30/2017,"199,584",,,,,,,,,
10/31/2017,"3,470",,,,,,,,,
11/30/2017,"35,548",,,,,,,,,
12/31/2017,"89,557",,,,,,,,,
1/31/2018,"3,080",,,,,,,,,
2/28/2018,"1,679",,,,,,,,,
3/31/2018,"1,872",,,,,,,,,
4/30/2018,"2,161",,,,,,,,,
5/31/2018,"1,432",,,,,,,,,
6/30/2018,"2,628",,,,,,,,,
7/31/2018,"2,210",,,,,,,,,
8/31/2018,"2,037",,,,,,,,,
9/30/2018,"129,223",,,,,,,,,
10/31/2018,"23,346",,,,,,,,,
11/30/2018,"6,500",,,,,,,,,
12/31/2018,"144,940",,,,,,,,,
1/31/2019,"3,082",,,,,,,,,
2/28/2019,"9,859",,,,,,,,,
3/31/2019,"5,029",,,,,,,,,
4/30/2019,"3,618",,,,,,,,,
5/31/2019,40,,,,,,,,,
6/30/2019,"6,803",,,,,,,,,
7/31/2019,"3,379",,,,,,,,,
8/31/2019,"9,097",,,,,,,,,
9/30/2019,"104,715",,,,,,,,,
10/31/2019,"27,234",,,,,,,,,
11/30/2019,"24,408",,,,,,,,,
12/31/2019,"47,296",,,,,,,,,
1/31/2020,"61,247",,,,,,,,,
2/29/2020,"60,850",,,,,,,,,
3/31/2020,"4,723",,,,,,,,,
4/30/2020,"3,016",,,,,,,,,
5/31/2020,"18,023",,,,,,,,,
6/30/2020,"17,702",,,,,,,,,
7/31/2020,"6,546",,,,,,,,,
8/31/2020,"11,740",,,,,,,,,
9/30/2020,"112,687",,,,,,,,,
10/31/2020,"65,202",,,,,,,,,
11/30/2020,"97,009",,,,,,,,,
12/31/2020,"71,934",,,,,,,,,
1/31/2021,"82,270",,,,,,,,,
2/28/2021,"50,838",,,,,,,,,
3/31/2021,"25,450",,,,,,,,,
4/30/2021,"75,868",,,,,,,,,
5/31/2021,"43,596",,,,,,,,,
6/30/2021,"60,475",,,,,,,,,
7/31/2021,"40,187",,,,,,,,,
8/31/2021,"122,861",,,,,,,,,
9/30/2021,"112,580",,,,,,,,,
10/31/2021,"73,951",,,,,,,,,
11/30/2021,"88,357",,,,,,,,,
12/31/2021,"102,114",,,,,,,,,
1/31/2022,"49,116",,,,,,,,,
2/28/2022,"28,726",,,,,,,,,
3/31/2022,"24,153",,,,,,,,,
4/30/2022,"13,789",,,,,,,,,
5/31/2022,"22,490",,,,,,,,,
6/30/2022,"21,581",,,,,,,,,
7/31/2022,"19,140",,,,,,,,,
8/31/2022,"73,016",,,,,,,,,
