SKU,Compras,Ventas
1750007,435,398
1750008,803,703
1750009,785,674
1750010,112,102
1750012,530,450
1750014,28,118
1750015,2052,2028
1750016,40,42
1750018,30,27
1750019,293,284
1750020,202,202
1750021,451,451
1750022,640,479
1750023,10,5
1750024,27,23
1750025,72,75
1750026,9,7
1750027,1,1
1750028,1,1
1750029,3,2
1750031,45,42
1750032,5,3
1750033,7,7
1750034,58,54
1750035,31,30
1750036,20,14
1750037,2,2
1750038,20,18
1750039,45,46
1750040,40,38
1750041,6,4
1750042,12,11
1750043,2,1
1750044,9,4
1750045,237,244
1750046,219,221
1750047,295,244
1750048,772,756
1750049,2251,2134
1750051,50,50
1750052,52,52
1750053,14,11
1750054,11,8
1750055,1,2
1750057,4,2
1750059,58,44
1750060,336,339
1750061,3,2
1750062,53,63
1750063,6,4
1750064,318,296
1750065,131,131
1750066,256,256
1750067,780,778
1750068,1234,1234
1750069,861,861
1750072,195,177
1750075,13,13
1750077,264,239
1750078,285,292
1750089,10,6
1750090,30,24
1750094,23,23
1750095,444,476
1750096,26,12
1750098,5378,5198
1750100,1593,1527
1750120,2302,2263
1750122,283,266
1750124,16,14
1750139,664,656
1750140,4419,4225
1750142,1183,1160
1750143,180,180
1750145,260,275
1750150,325,340
1750155,25,30
1750160,265,255
1750184,11,11
1750185,5,2
1750186,9,9
1750191,8,8
1750192,2,1
1750193,15,9
1750194,42,38
1750195,12,12
1750196,10,8
1750197,94,86
1750199,11,7
1750200,195,187
1750202,45,47
1750205,12,12
1750206,3,2
1750207,4,2
1750210,3,2
1750212,7,4
1750225,131,123
1750227,52,51
1750228,331,330
1750229,267,264
1750230,56,50
1750231,43,35
1750232,7,4
1750233,21,18
1750234,35,34
1750235,20,17
1750236,471,447
1750237,179,169
1750238,175,161
1750239,143,126
1750240,60,35
1750241,54,48
1750242,138,138
1750243,27,24
1750244,5,2
1750245,240,212
1750248,1261,1265
1750249,165,104
1750250,14384,13680
1750252,6585,6526
1750254,12638,11880
1750256,9656,9201
1750258,2960,2787
1750260,1041,970
1750262,681,631
1750272,1113,1063
1750274,1068,996
1750276,2953,2853
1750278,4276,4079
1750280,1894,1807
1750282,1379,1370
1750284,427,393
1750290,262,156
1750291,198,190
1750292,9,8
1750293,12,9
1750294,10,7
1750295,490,548
1750296,14,12
1750297,9,8
1750298,50,50
1750299,33,34
1750300,2253,2223
1750301,611,608
1750302,175,185
1750303,3,1
1750304,6,5
1750306,7,5
1750307,8,6
1750308,3,1
1750310,7,7
1750311,2,1
1750312,174,168
1750313,3,1
1750314,32,32
1750315,13,11
1750316,5,5
1750320,40,42
1750322,64,66
1750324,26,24
1750325,14,16
1750326,31,29
1750327,17,21
1750328,31,35
1750350,86,81
1750370,42,42
1750378,148,169
1750380,117,112
1750385,144,154
1750390,118,129
1750400,1219,1153
1750402,97,103
1750404,15,11
1750406,564,568
1750408,256,238
1750410,348,342
1750412,220,203
1750416,157,152
1750418,258,232
1750420,212,198
1750422,367,327
1750424,86,81
1750426,45,44
1750428,52,54
1750430,11,14
1750432,18,18
1750434,13,16
1750439,13,9
1750440,26,16
1750441,21,15
1750442,45,40
1750443,32,25
1750444,57,53
1750446,164,156
1750448,27,25
1750450,23,17
1750452,36,35
1750460,57,48
1750461,123,105
1750470,923,802
1750471,720,718
1750472,668,667
1750476,154,142
1750477,213,187
1750486,12,5
1750488,6,2
1750489,46,33
1750491,19,18
1750492,112,101
1750493,66,56
1750494,33,30
1750495,42,41
1750496,17,4
1750499,5,7
1750505,1623,1605
1750506,1150,1123
1750508,242,246
1750520,238,237
1750525,59,60
1750540,507,506
1750542,7202,7057
1750543,155,172
1750544,6799,6787
1750545,333,335
1750548,1252,1241
1750555,102,100
1750560,48,48
1750561,20,18
1750562,15,12
1750563,17,12
1750564,20,14
1750565,20,11
1750570,27,24
1750575,41,36
1750577,10,2
1750578,25,18
1750579,57,51
1750580,373,341
1750582,212,200
1750584,98,94
1750586,38,43
1750588,147,138
1750590,2257,2139
1750591,46,27
1750592,3262,3060
1750593,491,425
1750594,1054,995
1750595,483,464
1750597,258,244
1750598,19,14
1750599,344,364
1750600,5,4
1750640,3,1
1750641,2,2
1750643,2,2
1750645,2,2
1750650,9,6
1750654,28,21
1750655,51,47
1750656,9,9
1750660,8,10
1750670,2,1
1750675,8,1
1750690,3045,2860
1750695,320,276
1750705,111,110
1750710,418,402
1750714,1125,1045
1750715,354,335
1750716,254,135
1750720,263,223
1750750,6,5
1750752,1,1
1750760,165,145
1750762,67,57
1750775,15,15
1750778,277,274
1750785,121,110
1750786,200,195
1750787,661,612
1750788,451,320
1750790,15,15
1750800,114,114
1750810,232,212
1750875,939,837
1750880,735,622
1750885,407,404
1750890,197,205
1750895,145,132
1750910,56,43
1750912,99,86
1750918,100,27
1750920,1245,1116
1750921,2420,2007
1750926,100,96
1750927,113,104
1750930,1211,1170
1750940,4349,4104
1750943,15921,14195
1750952,7387,6809
1750953,7530,5022
1750954,67129,63601
1750956,19525,18725
1750958,7854,7301
1750960,14611,13587
1750962,4950,4233
1750970,22408,21930
1750973,35129,33293
1750974,3603,3380
1750975,25596,25361
1750976,36166,34408
1750978,4003,4103
1750979,14920,14753
1750980,23273,22535
1750981,1310,1212
1750982,10264,10377
1750983,874,667
1750986,1000,685
1750988,7526,7024
1750990,10821,10853
1750992,1950,1523
1750994,703,747
1750995,115,161
1750996,1351,1407
1750998,215,338
1750999,170,217
1751000,144,220
1751001,5427,5072
1751002,50,108
1751005,26744,26835
1751006,3166,2883
1751015,200,200
1751017,100,100
1751019,300,300
1751021,100,97
1751027,50,44
1751030,20,15
1751032,6,3
1751045,15,14
1751047,5,7
1751049,263,230
1751050,3290,3213
1751052,971,969
1751055,816,798
1751057,207,185
1751060,3966,3896
1751062,350,363
1751065,697,717
1751080,4,6
1751085,3,3
1751090,24,24
1751095,4,3
1751100,3,5
1751110,3,3
1751120,12,11
1751124,720,694
1751125,299,248
1751129,1411,1285
1751130,2273,2090
1751131,4581,4324
1751132,22089,20959
1751134,742,725
1751136,11644,10745
1751138,1032,937
1751140,18804,17507
1751142,2614,2562
1751144,7761,7155
1751146,2550,2431
1751148,1074,953
1751150,525,492
1751152,542,506
1751154,282,242
1751170,1749,1225
1751172,1158,708
1751174,4531,4022
1751176,1210,1123
1751178,23854,23987
1751180,3898,2985
1751182,6015,6060
1751184,1628,1337
1751186,15424,15307
1751188,2167,2074
1751190,1875,1762
1751192,475,244
1751194,14433,14520
1751196,552,258
1751198,754,451
1751200,463,250
1751202,5207,5058
1751204,234,108
1751206,362,321
1751208,359,114
1751210,11124,10768
1751212,237,209
1751214,176,34
1751216,209,128
1751218,1545,1444
1751220,218,60
1751222,372,121
1751224,12,16
1751226,6496,6535
1751240,111,111
1751242,102,85
1751244,420,536
1751246,65,81
1751248,2445,3446
1751250,791,831
1751252,704,690
1751254,122,154
1751256,2760,2995
1751258,1911,1805
1751260,309,324
1751262,51,68
1751264,5356,5502
1751266,168,182
1751268,25,47
1751270,12,134
1751272,1880,1794
1751274,47,87
1751276,19,38
1751278,10,48
1751280,2171,2311
1751284,15,37
1751286,29,53
1751288,235,283
1751290,8,28
1751292,6,17
1751294,13,27
1751295,516,595
1751296,4,6
1751298,214,212
1751299,4,2
1751300,39,41
1751302,3,7
1751303,36,35
1751304,30,30
1751307,2,4
1751308,9,9
1751309,1,1
1751310,1,0
1751328,3,1
1751330,28,27
1751331,5,4
1751344,80,77
1751345,42,39
1751346,2,1
1751350,45,45
1751355,75,76
1751400,10,10
1751490,200,184
1751495,13,15
1751498,8,5
1751500,220,199
1751800,281,282
1751805,176,171
1751874,81,68
1751875,6,6
1751876,20,9
1751877,10,9
1751878,5,3
1751980,58,59
1751981,45,45
1751982,21,20
1751984,6,8
1751986,6,6
1751987,20,20
1751988,40,12
1751989,25,3
1751997,90,82
1751998,366,375
1751999,218,237
1752000,265,230
1752005,31,35
1752007,3,1
1752008,5,5
1752020,11,8
1752035,666,656
1752038,1176,1125
1752040,107,105
1752045,15,12
1752058,33,37
1752060,900,903
1752062,48,44
1752066,832,825
1752075,2,1
1752080,36,34
1752090,3,2
1752092,2,1
1752093,1,1
1752100,393,399
1752105,1416,1287
1752110,856,869
1752115,2018,1940
1752120,913,840
1752125,1267,1216
1752130,1102,1135
1752135,505,552
1752140,1278,1220
1752142,809,816
1752145,369,324
1752150,825,845
1752155,184,200
1752160,599,567
1752165,388,382
1752170,492,480
1752180,257,223
1752181,301,219
1752182,1581,1439
1752183,1256,1085
1752185,326,274
1752195,2315,2166
1752196,3007,2896
1752197,40,56
1752198,89,105
1752200,603,858
1752205,2327,2482
1752210,3017,3322
1752215,1042,1237
1752220,3090,3066
1752222,751,685
1752223,238,266
1752225,2000,2195
1752230,593,670
1752235,316,443
1752300,32,19
1752302,75,63
1752303,119,104
1752305,159,139
1752307,79,64
1752308,16,10
1752311,51,45
1752320,7,5
1752324,12,4
1752490,961,999
1752500,5254,5527
1752502,239,262
1752505,60,60
1752507,6,6
1752510,225,218
1752550,71,70
1753001,122,120
1753002,137,129
1753220,67,67
1753222,76,72
1753224,70,70
1753250,24,27
