Compras,Ventas
435.00,398.00
803.00,703.00
785.00,674.00
112.00,102.00
530.00,450.00
28.00,118.00
2052.00,2028.00
40.00,42.00
30.00,27.00
293.00,284.00
202.00,202.00
451.00,451.00
640.00,479.00
10.00,5.00
27.00,23.00
72.00,75.00
9.00,7.00
1.00,1.00
1.00,1.00
3.00,2.00
45.00,42.00
5.00,3.00
7.00,7.00
58.00,54.00
31.00,30.00
20.00,14.00
2.00,2.00
20.00,18.00
45.00,46.00
40.00,38.00
6.00,4.00
12.00,11.00
2.00,1.00
9.00,4.00
237.00,244.00
219.00,221.00
295.00,244.00
772.00,756.00
2251.00,2134.00
50.00,50.00
52.00,52.00
14.00,11.00
11.00,8.00
1.00,2.00
4.00,2.00
58.00,44.00
336.00,339.00
3.00,2.00
53.00,63.00
6.00,4.00
318.00,296.00
131.00,131.00
256.00,256.00
780.00,778.00
1234.00,1234.00
861.00,861.00
195.00,177.00
13.00,13.00
264.00,239.00
285.00,292.00
10.00,6.00
30.00,24.00
23.00,23.00
444.00,476.00
26.00,12.00
5378.00,5198.00
1593.00,1527.00
2302.00,2263.00
283.00,266.00
16.00,14.00
664.00,656.00
4419.00,4225.00
1183.00,1160.00
180.00,180.00
260.00,275.00
325.00,340.00
25.00,30.00
265.00,255.00
11.00,11.00
5.00,2.00
9.00,9.00
8.00,8.00
2.00,1.00
15.00,9.00
42.00,38.00
12.00,12.00
10.00,8.00
94.00,86.00
11.00,7.00
195.00,187.00
45.00,47.00
12.00,12.00
3.00,2.00
4.00,2.00
3.00,2.00
7.00,4.00
131.00,123.00
52.00,51.00
331.00,330.00
267.00,264.00
56.00,50.00
43.00,35.00
7.00,4.00
21.00,18.00
35.00,34.00
20.00,17.00
471.00,447.00
179.00,169.00
175.00,161.00
143.00,126.00
60.00,35.00
54.00,48.00
138.00,138.00
27.00,24.00
5.00,2.00
240.00,212.00
1261.00,1265.00
165.00,104.00
14384.00,13680.00
6585.00,6526.00
12638.00,11880.00
9656.00,9201.00
2960.00,2787.00
1041.00,970.00
681.00,631.00
1113.00,1063.00
1068.00,996.00
2953.00,2853.00
4276.00,4079.00
1894.00,1807.00
1379.00,1370.00
427.00,393.00
262.00,156.00
198.00,190.00
9.00,8.00
12.00,9.00
10.00,7.00
490.00,548.00
14.00,12.00
9.00,8.00
50.00,50.00
33.00,34.00
2253.00,2223.00
611.00,608.00
175.00,185.00
3.00,1.00
6.00,5.00
7.00,5.00
8.00,6.00
3.00,1.00
7.00,7.00
2.00,1.00
174.00,168.00
3.00,1.00
32.00,32.00
13.00,11.00
5.00,5.00
40.00,42.00
64.00,66.00
26.00,24.00
14.00,16.00
31.00,29.00
17.00,21.00
31.00,35.00
86.00,81.00
42.00,42.00
148.00,169.00
117.00,112.00
144.00,154.00
118.00,129.00
1219.00,1153.00
97.00,103.00
15.00,11.00
564.00,568.00
256.00,238.00
348.00,342.00
220.00,203.00
157.00,152.00
258.00,232.00
212.00,198.00
367.00,327.00
86.00,81.00
45.00,44.00
52.00,54.00
11.00,14.00
18.00,18.00
13.00,16.00
13.00,9.00
26.00,16.00
21.00,15.00
45.00,40.00
32.00,25.00
57.00,53.00
164.00,156.00
27.00,25.00
23.00,17.00
36.00,35.00
57.00,48.00
123.00,105.00
923.00,802.00
720.00,718.00
668.00,667.00
154.00,142.00
213.00,187.00
12.00,5.00
6.00,2.00
46.00,33.00
19.00,18.00
112.00,101.00
66.00,56.00
33.00,30.00
42.00,41.00
17.00,4.00
5.00,7.00
1623.00,1605.00
1150.00,1123.00
242.00,246.00
238.00,237.00
59.00,60.00
507.00,506.00
7202.00,7057.00
155.00,172.00
6799.00,6787.00
333.00,335.00
1252.00,1241.00
102.00,100.00
48.00,48.00
20.00,18.00
15.00,12.00
17.00,12.00
20.00,14.00
20.00,11.00
27.00,24.00
41.00,36.00
10.00,2.00
25.00,18.00
57.00,51.00
373.00,341.00
212.00,200.00
98.00,94.00
38.00,43.00
147.00,138.00
2257.00,2139.00
46.00,27.00
3262.00,3060.00
491.00,425.00
1054.00,995.00
483.00,464.00
258.00,244.00
19.00,14.00
344.00,364.00
5.00,4.00
3.00,1.00
2.00,2.00
2.00,2.00
2.00,2.00
9.00,6.00
28.00,21.00
51.00,47.00
9.00,9.00
8.00,10.00
2.00,1.00
8.00,1.00
3045.00,2860.00
320.00,276.00
111.00,110.00
418.00,402.00
1125.00,1045.00
354.00,335.00
254.00,135.00
263.00,223.00
6.00,5.00
1.00,1.00
165.00,145.00
67.00,57.00
15.00,15.00
277.00,274.00
121.00,110.00
200.00,195.00
661.00,612.00
451.00,320.00
15.00,15.00
114.00,114.00
232.00,212.00
939.00,837.00
735.00,622.00
407.00,404.00
197.00,205.00
145.00,132.00
56.00,43.00
99.00,86.00
100.00,27.00
1245.00,1116.00
2420.00,2007.00
100.00,96.00
113.00,104.00
1211.00,1170.00
4349.00,4104.00
15921.00,14195.00
7387.00,6809.00
7530.00,5022.00
67129.00,63601.00
19525.00,18725.00
7854.00,7301.00
14611.00,13587.00
4950.00,4233.00
22408.00,21930.00
35129.00,33293.00
3603.00,3380.00
25596.00,25361.00
36166.00,34408.00
4003.00,4103.00
14920.00,14753.00
23273.00,22535.00
1310.00,1212.00
10264.00,10377.00
874.00,667.00
1000.00,685.00
7526.00,7024.00
10821.00,10853.00
1950.00,1523.00
703.00,747.00
115.00,161.00
1351.00,1407.00
215.00,338.00
170.00,217.00
144.00,220.00
5427.00,5072.00
50.00,108.00
26744.00,26835.00
3166.00,2883.00
200.00,200.00
100.00,100.00
300.00,300.00
100.00,97.00
50.00,44.00
20.00,15.00
6.00,3.00
15.00,14.00
5.00,7.00
263.00,230.00
3290.00,3213.00
971.00,969.00
816.00,798.00
207.00,185.00
3966.00,3896.00
350.00,363.00
697.00,717.00
4.00,6.00
3.00,3.00
24.00,24.00
4.00,3.00
3.00,5.00
3.00,3.00
12.00,11.00
720.00,694.00
299.00,248.00
1411.00,1285.00
2273.00,2090.00
4581.00,4324.00
22089.00,20959.00
742.00,725.00
11644.00,10745.00
1032.00,937.00
18804.00,17507.00
2614.00,2562.00
7761.00,7155.00
2550.00,2431.00
1074.00,953.00
525.00,492.00
542.00,506.00
282.00,242.00
1749.00,1225.00
1158.00,708.00
4531.00,4022.00
1210.00,1123.00
23854.00,23987.00
3898.00,2985.00
6015.00,6060.00
1628.00,1337.00
15424.00,15307.00
2167.00,2074.00
1875.00,1762.00
475.00,244.00
14433.00,14520.00
552.00,258.00
754.00,451.00
463.00,250.00
5207.00,5058.00
234.00,108.00
362.00,321.00
359.00,114.00
11124.00,10768.00
237.00,209.00
176.00,34.00
209.00,128.00
1545.00,1444.00
218.00,60.00
372.00,121.00
12.00,16.00
6496.00,6535.00
111.00,111.00
102.00,85.00
420.00,536.00
65.00,81.00
2445.00,3446.00
791.00,831.00
704.00,690.00
122.00,154.00
2760.00,2995.00
1911.00,1805.00
309.00,324.00
51.00,68.00
5356.00,5502.00
168.00,182.00
25.00,47.00
12.00,134.00
1880.00,1794.00
47.00,87.00
19.00,38.00
10.00,48.00
2171.00,2311.00
15.00,37.00
29.00,53.00
235.00,283.00
8.00,28.00
6.00,17.00
13.00,27.00
516.00,595.00
4.00,6.00
214.00,212.00
4.00,2.00
39.00,41.00
3.00,7.00
36.00,35.00
30.00,30.00
2.00,4.00
9.00,9.00
1.00,1.00
1.00,0.00
3.00,1.00
28.00,27.00
5.00,4.00
80.00,77.00
42.00,39.00
2.00,1.00
45.00,45.00
75.00,76.00
10.00,10.00
200.00,184.00
13.00,15.00
8.00,5.00
220.00,199.00
281.00,282.00
176.00,171.00
81.00,68.00
6.00,6.00
20.00,9.00
10.00,9.00
5.00,3.00
58.00,59.00
45.00,45.00
21.00,20.00
6.00,8.00
6.00,6.00
20.00,20.00
40.00,12.00
25.00,3.00
90.00,82.00
366.00,375.00
218.00,237.00
265.00,230.00
31.00,35.00
3.00,1.00
5.00,5.00
11.00,8.00
666.00,656.00
1176.00,1125.00
107.00,105.00
15.00,12.00
33.00,37.00
900.00,903.00
48.00,44.00
832.00,825.00
2.00,1.00
36.00,34.00
3.00,2.00
2.00,1.00
1.00,1.00
393.00,399.00
1416.00,1287.00
856.00,869.00
2018.00,1940.00
913.00,840.00
1267.00,1216.00
1102.00,1135.00
505.00,552.00
1278.00,1220.00
809.00,816.00
369.00,324.00
825.00,845.00
184.00,200.00
599.00,567.00
388.00,382.00
492.00,480.00
257.00,223.00
301.00,219.00
1581.00,1439.00
1256.00,1085.00
326.00,274.00
2315.00,2166.00
3007.00,2896.00
40.00,56.00
89.00,105.00
603.00,858.00
2327.00,2482.00
3017.00,3322.00
1042.00,1237.00
3090.00,3066.00
751.00,685.00
238.00,266.00
2000.00,2195.00
593.00,670.00
316.00,443.00
32.00,19.00
75.00,63.00
119.00,104.00
159.00,139.00
79.00,64.00
16.00,10.00
51.00,45.00
7.00,5.00
12.00,4.00
961.00,999.00
5254.00,5527.00
239.00,262.00
60.00,60.00
6.00,6.00
225.00,218.00
71.00,70.00
122.00,120.00
137.00,129.00
67.00,67.00
76.00,72.00
70.00,70.00
24.00,27.00
9.00,6.00
4.00,4.00
1.00,2.00
1.00,1.00
22.00,25.00
9.00,11.00
