Cantidad,Importe
7054,6477061.76
94885,5540605.11
4486,4738448.69
84952,4311640.46
7841,4230768.55
53628,3806599.51
30867,3780343.54
28476,3439960.87
2214,3424937.69
14780,3320468.82
6374,3165305.77
5176,3047016.67
24988,3024336.91
98086,2849952.28
2132,2664771.81
74753,2556461.01
2258,2267519.23
19708,2238189.06
43142,2235637.34
1601,2168102.33
440927,2032275.67
900,1883492.29
19668,1863118.09
10676,1787256.32
15522,1784445.66
84304,1724035.28
502,1691888.26
367786,1627844.92
755,1621166
24926,1559192.57
9724,1557700.53
52696,1524309.1
204586,1512255.89
1234,1481024.36
837,1466909.8
1403,1435735.44
29599,1426632.33
3196,1328544.75
235128,1324792.45
9937,1299663.28
4632,1288929.75
1278,1283756.06
20748,1276320.26
144099,1240720.78
179168,1230241.7
4223,1224161.13
7382,1221970.11
7794,1213422.27
130035,1207250.44
2561,1199684.86
29792,1197472.75
30309,1171770.27
1089,1164299.82
26265,1163265.95
1524,1154159.35
3459,1151568.4
15034,1147535.18
35836,1144540.38
1745,1102299.86
14251,1065441.42
606,1044429.17
538,1036071.36
668,1015866.7
20711,994979.06
824,993606.71
33636,991176.45
38764,990074.48
6683,987586.77
1571,975236.63
236,972927.73
11785,953326.57
861,953154.27
6621,952696.67
1254,916548.9
8024,914792.36
7288,912966.7
168,912615.7
10550,909417.22
18447,903022.71
575,900959.61
1496,898996.64
29616,898540.27
92938,889991.42
3029,886662.66
307775,875699.55
5865,874418.17
36458,873964.37
4022,872594.95
1851,863964.32
207648,858655.69
1018170,843437.71
1116,841820.72
3816,837543.93
1887,837034.09
825,815034.65
7971,811495.79
1146,811381.07
6414,785803.02
776,783800.52
24894,776904.68
5335,766372.83
299,760180.43
776,756448.31
26818,754278.19
436,753457.49
1121,748566.01
22174,742703.69
488,739908.32
9378,733610.56
466,726569.54
14998,724804.88
237,710358.34
516,702137.69
480,700267.73
123625,699307.84
3892,697680.69
2957,687435.69
292,679421.89
1465,678453.93
318,676988.05
114046,666492.1
6996,662053.36
963,660500.84
15438,646026.47
2867,638672.34
106724,636842.45
42,634904.16
141,629070.68
391,627874.85
1877,626030.02
133726,619565.02
12110,617332.43
339,616583.04
605,616255.83
3123,612990.21
479,610539.42
245,602791.49
5766,598643.29
219,597412.09
641,596326.29
13541,595116.1
5561,594952.42
93,590100.28
717,590005.73
13168,589045.01
29261,584919.93
932,583211.86
11139,573614.04
693,573470.31
2986,571433.51
3949,568236.88
8167,562140.75
310,555653.45
1706,553997.59
187,553454.72
5040,550069.6
174,543590.35
698465,543386.89
3240,543383.32
2527,539312.19
170,538324.17
22113,530870.53
66,528798.37
20880,526845.94
778,523969.12
38467,523057.04
488,521357.57
1783,515803.75
28422,514364.46
313,514145.34
1837,511149.6
321,509809.14
1156,509579.6
5539,504972.96
63520,504376.58
445,503603.3
1410,501566.16
5634,497425.43
27497,494498.94
255,489476.68
11468,485876.35
416,484634.3
13218,483481.06
718,482503.16
293,479746.65
330,479590.25
9129,479320.62
20317,479267.65
935,477414.99
184,474548.65
32709,473524.53
480,473015.19
141,472693.68
65082,471503.27
68624,470790.07
3077,469440.27
79892,466687.51
7250,465983.81
3499,461030.46
7788,460642.17
8840,460132.47
517,459625.6
3955,459193.78
5480,457976.6
72,456744.93
1417,452987.35
2773,450710.78
1833,450693.28
5814,449632.93
177388,449350.23
459833,448634.97
33293,448003.64
38536,447196.64
148,445562.74
7794,445542.08
4457,443114.68
767,442674.71
198,442301.59
2594,441669.59
94,440803.63
209,438170.64
60298,437578.23
4205,437444.35
319,437177.41
7181,436906.6
90137,433360.45
451,430523.57
241,428288.55
1157,427171.49
16142,424435.32
22036,422002.55
4351,419331.02
2688,418397.27
488,417908.26
1366,416551.22
12042,415239.63
889,414066.18
13116,411709.68
5269,411078.85
176,410271.12
4006,408635.82
3299,408293.27
128,404415.82
2477,402428.94
266,402396.25
2596,399843
1042,399231.41
4740,397511.5
6805,394217.94
86,392146.41
357,391514.17
187,390145.84
174,390117.09
860,386726.26
6249,386724.61
4463,385775.43
73919,384436.99
129,383580.57
123,382381.31
1249,382226.08
3091,380733.85
123016,380429.4
6963,380136.56
2452,378307.66
3593,377679.77
8519,377022.5
400,376702.71
6263,375370.71
148498,372641.07
1978,371899.19
10614,371612.93
4365,371312.5
4728,370758.77
1207,369308.59
1468,367061.3
6736,365558.68
34792,365511.3
2307,364611.11
96277,363512.9
1547,362220.79
22522,362096.1
819,361696.62
31811,360117.88
264,358633.37
22585,358375.85
185818,358232.46
2432,355260.52
4449,353893.54
185,353106.43
6057,353105.99
1882,352657.75
702219,350371.2
5210,349854.14
60,347567.6
7902,346221.15
4698,345949.36
336,345465.94
287,344234.64
11433,343251.49
1830,341563.75
5529,341557.52
7068,340945.44
413,339745.16
23267,339395.14
4418,339100.91
253,337640.26
762,337351.09
1898,334621.83
58,333745.65
5752,332147.96
35774,331304.51
284,330479
31901,327861.79
822,327626.53
270,327430.63
10466,327201.51
221,326545.71
3699,326272.43
120,325201.4
84287,323233.6
654,323135.95
213,322341.19
361,318718.3
2083,317384.74
2021,317224.34
10655,317048.54
1763,316378.82
534,315241.72
321,312944.06
284,312741.45
13579,312443.95
16111,311952.41
21573,311578.19
3946,311460.42
475,311221.19
1659,310554.91
12105,309882.72
41920,309639.03
21633,309307.73
1847,309176.73
42,309059.68
13740,307962.06
173,305795.13
197,304569.95
928,301262.11
338133,301205.02
6326,300744.22
5054,299854.06
4241,298169.67
394,297968.14
525037,296434.95
224,295767.35
95680,291455.39
34702,291356.11
34404,290049.57
24165,288601.76
76,288312.12
359,287475.7
23,286741.29
1703,286509.93
30751,286391.65
6204,284957.44
273,284880.07
1674,284880.07
269,284717.53
7649,283605.64
1008,282964.6
282,281785.29
35,278684.15
9143,278402.69
521,278032.65
20754,277248.37
81,276812.38
3547,276777.44
12385,276251.43
52027,275742.71
21478,275404.5
12074,274193.08
782,273390.51
788,273293.41
244,273173.36
89705,273037.85
507164,272275.55
10140,272229.36
1241,272220.37
1222,270975.97
24241,268803.06
5965,268622.04
828,268342.4
1113,267856.59
4736,266013.59
1205,264793.47
136,264736.62
2927,264546.45
1248,264183.73
563,264178.05
4038,263831.88
618,263531.01
392,263434.12
16498,262143.91
10336,261763.17
1218,260317.14
3663,259787.03
1777,258683.88
2320,258533.37
37374,258039.84
86,256931.39
7877,254757.58
1830,254650.67
171,254615.43
3006,253735.87
2685,253700.36
3170,253480.25
1793,252174.93
10575,251592.62
1395,251470
177495,251191.07
9550,250034.41
1108,249772.11
2952,249526.47
14753,248711.65
33087,246482.5
10469,244617.53
31715,244526.37
5655,244259.8
1394,243998.96
244,243414.86
2457,243315.68
345091,243268.4
1990,242670.3
3662,242506.33
260,242355.58
14260,242352.08
30287,242026.31
123712,241906.86
2600,241811.82
12861,241733.61
9480,241545.33
2811,240135.23
944,238491.01
147160,237883.29
8473,237455.65
6473,235626.99
3506,235500.51
211,235418.2
8816,234564.99
13965,234179.88
1975,234060.88
13443,233825.47
3177,233667.49
3008,233168.19
5160,233041.81
3090,232100.76
17311,231846.04
319,230415.8
7499,230353.78
9424,229960.34
5928,229772.32
711,229087.97
3773,228502.09
6573,228251.3
14293,228005.3
24,227231.26
2459,226944.32
256,226921.96
3057,225107.81
1078,224346
2791,224279.68
480,224178.65
8502,224056.79
1114,223092.25
2763,222366.13
24650,222112.55
3126,221883.03
155,221709.44
178,221590.7
476,221457.29
3413,221446.23
1476,220386.34
3024,220158.85
6460,220034.93
2870,218700.34
71732,217368.85
1038631,217161.38
18800,217117.3
11583,217035.49
12593,217015.85
17345,216783.89
105,216521.08
91,216253.86
389,215845.96
12266,215787.08
13649,215323.99
260,214648.78
2405,213886.23
664,212782.12
70739,212466.72
96,210721.41
346,210706.64
3022,210546.09
2964,210465.05
10853,210230.89
18385,210045.8
1674,209301.85
1339,209093.8
10595,208997.48
2126,208878.43
