SKU,MMX_Q1,MMX_Q2,MMX_Q3,MMX_Q4,MMXVI_Q1,MMXVI_Q2,MMXVI_Q3,MMXVI_Q4,MMXVII_Q1,MMXVII_Q2,MMXVII_Q3,MMXVII_Q4,MMXVIII_Q1,MMXVIII_Q2,MMXVIII_Q3,MMXVIII_Q4,MMXIX_Q1,MMXIX_Q2,MMXIX_Q3,MMXIX_Q4,MMXX_Q1,MMXX_Q2,MMXX_Q3,MMXX_Q4,MMXXI_Q1,MMXXI_Q2,MMXXI_Q3,MMXXI_Q4,MMXXII_Q1,MMXXII_Q2,MMXXII_Q3
1330350,104943.65,42790.81,41580.93,594000.1,573833.47,55058.18,17562.66,1460040.9,625137.64,54557.95,27885.56,1472145.66,581183.61,30958.3,36438.95,951706.56,1022267.06,56846.8,110517.35,951085.42,1027037.6,89369.83,154390.57,1685219.22,1204945.74,551296.73,964839.95,2191868.69,1738016.33,531366.33,378666.51
1756500,151763.57,125249.26,133092.32,134435.47,139545.52,204142.58,190888.54,93335.78,116854.09,169941.25,232481.31,234231.35,299318.76,258374.36,221693.95,246593.42,209252.08,247041.81,256505.68,326684.09,133973.53,252277.21,126281.1,561785.4,327912.55,163029.42,280552.2,159786.95,0,326441.55,189307.39
1290175,147489.12,146853.68,180893.96,196218.15,195245.08,179370.76,234703.2,215143.05,113589.29,155946.84,166732.12,148357.81,148300.52,182746.99,171418.95,170916.07,187739.09,174565.53,139411.95,203178.75,192180.21,142056.38,159122.7,183445.17,218382.68,187876.87,226129.13,207475.02,281957.35,175005.33,131621.11
1754020,130814.67,95154.02,107642.1,95156.68,102794.75,112687.16,124126.11,76678.39,139169,139927.14,155156.32,126857.92,157717.62,188621.52,151151.51,173290.16,117581.04,179507.16,165418.46,200161.52,171215.16,88880.92,218994.17,279754.58,282162.43,145982.43,121073.63,223983.02,158112.35,183383.56,144306.64
150058,173477.36,135680.98,145588.89,95455.56,137334.41,142099.19,95684.62,27123.8,129096.72,212149.45,209159.39,212322.39,96634.14,249389.33,209633.07,216728.65,215072.27,136108.24,126572.03,123198.61,128242.15,104999.18,122677.51,114432.59,123469.05,113533.5,117861.71,118718.78,96527.73,114107.88,77118.15
1754005,29294.67,28437.03,90939.28,97722.99,109840.53,113425.81,123701.1,74848.41,98661.7,104919.52,126160.86,111412.42,134083.35,153986.38,135002.31,135303.97,125488.93,150042.43,149652.49,119967.7,103217.68,135457.19,240809.51,278330.27,165870.39,268926.65,239911.21,204081.11,115426.83,164630.04,122918.68
150060,169790.94,134872.39,62312.11,115859.87,101584,115399.39,70957.23,20469.43,167126.45,158440.56,170716.03,191010.98,102707.38,243792.63,232587.7,166329.65,178914.32,136422.83,126476.29,117697.24,127022.22,106575.72,111508.85,99959.81,95488.53,68623.73,106030.46,88892.55,86138.08,80610.77,56581.5
1500204,111804.43,28384.51,2062.5,16108.08,16203.56,23528.59,19711.69,18225.03,12317.87,292114.39,459817.92,351969.66,135583.06,386050.42,218016.64,254753.45,282661.56,148426.76,109841.01,75183.05,86124.52,68562.44,67093.74,73379.8,58201.69,42719.11,52818.58,119832.98,108396.63,86950.78,62495.51
1500206,88261.17,57499.98,3185.77,13906.76,17758.92,11783.93,16774.99,17406.28,13250.89,302210.57,447261.45,268532.19,162369.13,387759.26,218387.12,197006.09,226749.91,122175.21,99217.61,63503.4,73513.33,62617.76,62688.31,62967.51,57294.45,45195.38,44293.71,106434.71,79449.01,71652.56,50460.63
1750300,47175.91,68416.5,83157.25,75908.03,78053.64,76123.63,86326.75,102794.17,111135.62,76379.41,129278.54,108466.38,110113.33,170865.58,108949.78,108646.45,93503.58,142455.88,184280.72,142980.53,105606.42,52088.78,130720.44,148955.83,156538.25,168828.47,118502.66,155022.23,104309.91,117605.92,78261.17
