SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0041801,98.00,58.00,35.00,135.00,53.00,54.00,,,,,,,52.00,5.00,15.00,37.00,72.00,57.00,16.00,26.00,101.00,22.00,32.00,19.00,34.00,29.00,14.00,3.00,31.00,48.00,55.00
0870201,18.00,,15.00,10.00,16.00,10.00,5.00,21.00,1.00,18.00,8.00,16.00,26.00,3.00,22.00,9.00,6.00,,22.00,6.00,14.00,5.00,8.00,23.00,18.00,15.00,15.00,14.00,12.00,19.00,5.00
0870202,31.00,23.00,31.00,61.00,30.00,25.00,16.00,38.00,2.00,9.00,8.00,25.00,31.00,38.00,33.00,17.00,3.00,,20.00,17.00,21.00,14.00,13.00,41.00,34.00,21.00,1.00,26.00,17.00,11.00,19.00
0870203,24.00,7.00,22.00,9.00,22.00,11.00,24.00,27.00,2.00,7.00,18.00,20.00,21.00,14.00,21.00,7.00,22.00,,14.00,8.00,26.00,1.00,40.00,11.00,26.00,47.00,2.00,30.00,18.00,11.00,11.00
0870215,2.00,,,,,,1.00,2.00,7.00,,,,4.00,,1.00,,6.00,2.00,,,,,,,2.00,,8.00,,,4.00,
0870225,2.00,,,,,,1.00,,,,,,,,,1.00,,,,,,1.00,,1.00,,,1.00,,,,
0870476,8.00,2.00,13.00,7.00,10.00,29.00,13.00,32.00,17.00,3.00,28.00,4.00,9.00,35.00,3.00,12.00,20.00,1.00,16.00,23.00,25.00,1.00,5.00,7.00,18.00,25.00,2.00,2.00,8.00,27.00,
1270009,,,,6.00,,,31.00,45.00,1.00,1.00,2.00,21.00,1.00,,1.00,55.00,0.00,4.00,3.00,2.00,2.00,3.00,4.00,2.00,12.00,8.00,10.00,8.00,5.00,7.00,6.00
1270010,2.00,,2.00,1.00,1.00,1.00,2.00,,,1.00,2.00,,,,2.00,2.00,1.00,3.00,2.00,1.00,,,1.00,,,,,,,,1.00
1270022,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,10.00,1.00,11.00,,10.00,11.00
1270038,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,
1270040,4.00,,6.00,,1.00,,2.00,,,2.00,1.00,,,1.00,,2.00,1.00,1.00,,,,1.00,,2.00,,,1.00,,,,
1270043,1.00,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,
1270050,2.00,8.00,1.00,9.00,2.00,5.00,1.00,6.00,3.00,6.00,,1.00,3.00,2.00,3.00,,2.00,2.00,,6.00,,,1.00,2.00,3.00,1.00,2.00,2.00,,1.00,
1270051,3.00,3.00,5.00,2.00,2.00,,1.00,3.00,2.00,1.00,3.00,,8.00,2.00,3.00,1.00,,1.00,5.00,,,1.00,,4.00,,3.00,,1.00,1.00,1.00,2.00
1291600,5.00,23.00,30.00,25.00,,6.00,38.00,3.00,7.00,7.00,14.00,5.00,6.00,16.00,9.00,15.00,8.00,17.00,18.00,6.00,6.00,17.00,12.00,14.00,29.00,20.00,25.00,14.00,44.00,16.00,
1291650,13.00,9.00,3.00,3.00,8.00,8.00,4.00,6.00,2.00,,,3.00,10.00,6.00,9.00,3.00,10.00,26.00,,,42.00,,18.00,30.00,17.00,42.00,23.00,18.00,34.00,30.00,24.00
1292200,7.00,12.00,1.00,12.00,7.00,2.00,21.00,9.00,25.00,,8.00,24.00,3.00,4.00,,2.00,2.00,3.00,,,1.00,21.00,,35.00,6.00,,,,,,
1293600,21.00,15.00,22.00,20.00,59.00,78.00,40.00,55.00,120.00,51.00,11.00,14.00,23.00,74.00,31.00,27.00,42.00,13.00,22.00,70.00,40.00,24.00,37.00,38.00,119.00,98.00,116.00,27.00,23.00,31.00,3.00
