SKU,WASD,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
41801,98,58,35,135,53,54,,,,,,,52,5,15,37,72,57,16,26,101,22,32,19,34,29,14,3,31,48,55
870201,18,,15,10,16,10,5,21,1,18,8,16,26,3,22,9,6,,22,6,14,5,8,23,18,15,15,14,12,19,5
870202,31,23,31,61,30,25,16,38,2,9,8,25,31,38,33,17,3,,20,17,21,14,13,41,34,21,1,26,17,11,19
870203,24,7,22,9,22,11,24,27,2,7,18,20,21,14,21,7,22,,14,8,26,1,40,11,26,47,2,30,18,11,11
870215,2,,,,,,1,2,7,,,,4,,1,,6,2,,,,,,,2,,8,,,4,
870225,2,,,,,,1,,,,,,,,,1,,,,,,1,,1,,,1,,,,
870476,8,2,13,7,10,29,13,32,17,3,28,4,9,35,3,12,20,1,16,23,25,1,5,7,18,25,2,2,8,27,
1270009,,,,6,,,31,45,1,1,2,21,1,,1,55,0,4,3,2,2,3,4,2,12,8,10,8,5,7,6
1270010,2,,2,1,1,1,2,,,1,2,,,,2,2,1,3,2,1,,,1,,,,,,,,1
1270022,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,1,11,,10,11
1270038,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1270040,4,,6,,1,,2,,,2,1,,,1,,2,1,1,,,,1,,2,,,1,,,,
1270043,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1270050,2,8,1,9,2,5,1,6,3,6,,1,3,2,3,,2,2,,6,,,1,2,3,1,2,2,,1,
1270051,3,3,5,2,2,,1,3,2,1,3,,8,2,3,1,,1,5,,,1,,4,,3,,1,1,1,2
1291600,5,23,30,25,,6,38,3,7,7,14,5,6,16,9,15,8,17,18,6,6,17,12,14,29,20,25,14,44,16,
1291650,13,9,3,3,8,8,4,6,2,,,3,10,6,9,3,10,26,,,42,,18,30,17,42,23,18,34,30,24
1292200,7,12,1,12,7,2,21,9,25,,8,24,3,4,,2,2,3,,,1,21,,35,6,,,,,,
1293600,21,15,22,20,59,78,40,55,120,51,11,14,23,74,31,27,42,13,22,70,40,24,37,38,119,98,116,27,23,31,3
1293650,,,,34,179,19,93,190,80,146,143,112,,120,157,72,117,60,89,89,196,107,62,82,146,133,238,90,212,250,73
1293660,25,6,,26,19,4,51,72,8,,95,21,70,29,61,68,72,63,62,54,38,38,11,43,144,40,49,48,93,28,2
1293700,15,6,2,13,,2,14,28,1,3,7,14,27,,59,1,,,275,15,469,45,68,103,430,5,323,149,331,78,73
1293760,19,4,1,8,9,4,1,2,26,,,,1,,,60,58,40,54,30,11,18,7,2,56,34,4,59,38,29,1
1293790,33,12,21,2,1,22,16,33,38,11,37,18,65,12,13,45,36,45,1,4,10,103,60,73,121,144,160,93,115,115,168
1300006,,,,,,,,,,,,,,,,,,,,,,22,21,5,41,73,68,209,27,1,50
1300008,753,262,124,128,528,320,412,225,308,48,504,429,836,97,295,325,269,263,454,320,442,175,341,252,706,263,533,637,300,674,595
1300010,487,2053,1006,1552,18,356,286,279,393,779,1045,79,271,400,1142,964,716,139,885,616,301,133,393,610,1018,568,1161,912,691,482,1537
1300014,2041,3494,1499,658,2031,1924,1487,1776,2203,999,2411,2626,2316,1121,2095,3517,1029,1866,2113,1759,1836,947,1886,,2,,,1429,3240,2807,3207
1300016,6,117,469,139,,494,76,54,117,170,95,89,137,75,57,42,92,27,82,58,42,24,65,27,,169,48,70,107,73,122
1300020,599,194,268,267,370,411,178,238,416,307,356,360,469,201,352,437,223,311,289,344,232,277,427,223,327,289,427,328,324,304,288
1300028,,,,,,,,,,,166,86,223,96,94,115,123,89,63,73,92,117,97,18,395,112,127,341,65,196,184
1300030,592,773,328,84,321,550,2,300,661,307,710,596,428,495,383,499,362,506,351,194,523,285,465,76,979,510,779,536,732,717,663
1300035,,,,,,,,,,,,,,,43,20,37,79,63,53,93,40,74,48,74,114,72,51,70,8,
1300041,,,,,,,,,,,,,,,15,39,17,21,23,12,23,9,10,9,16,13,18,29,17,25,38
1300042,52,73,34,133,118,177,37,99,220,258,285,40,132,222,277,217,278,170,75,130,212,148,77,90,162,278,167,88,228,,
1300045,,,,,,,,,,,,,,,11,12,2,2,,3,7,5,1,1,1,,7,2,1,15,2
1300048,,,,,,,,,,,,,,,,,,,,,,,,113,681,214,,,,,224
1300049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1300050,114,568,417,192,257,422,90,277,691,234,475,708,508,8,310,588,375,402,187,309,291,271,209,,,,,805,515,,
1300052,,,,,,11,8,2,22,4,1,2,9,,2,1,8,5,11,34,2,3,,7,8,6,13,1,14,5,1
1300058,,,,,,,,29,38,16,28,30,37,3,31,81,9,25,21,18,26,15,37,8,50,45,20,55,2,,
1300060,50,36,36,20,26,31,14,37,28,26,32,106,85,41,102,94,144,93,,80,53,28,12,33,66,49,151,46,,,1
