Número de artículo,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0012560,"1,087","1,470",792,2,"1,357",616,"1,178",815,"1,389","1,436",395,694,409,926,642,248,647,"1,020","1,038",180,"1,009",8,,75,290,397,388,"1,040",467,"1,261",547
0012562,244,290,101,2,189,253,280,266,284,253,516,23,199,142,368,149,197,330,131,24,348,51,102,219,405,326,165,474,230,345,7
0012564,126,87,188,71,34,35,260,150,65,66,,60,50,8,8,80,77,,2,33,65,25,10,,70,6,,153,43,10,94
0012566,80,25,16,21,60,55,80,6,4,77,,34,,2,,10,20,,50,48,12,7,50,,70,25,105,15,,5,55
0012568,239,187,43,4,115,170,11,25,203,35,40,55,82,45,55,50,93,,79,38,27,10,10,66,171,5,108,100,,136,8
0028105,,,,,,,,,13,7,17,10,13,15,45,77,13,20,13,28,20,26,37,19,30,19,25,32,25,,4
0028146,,,,,,,,,10,3,11,11,19,18,15,4,21,9,16,8,19,2,30,12,28,20,8,12,23,22,19
0028147,26,14,28,24,32,15,17,27,36,27,16,25,38,18,25,17,28,21,18,21,25,14,23,23,31,23,25,12,20,20,11
0028150,29,47,44,21,57,63,22,60,79,34,96,74,76,41,52,33,44,36,60,44,36,25,61,64,67,93,36,61,38,39,39
0028151,46,31,28,35,38,98,30,6,,,,31,52,32,30,21,28,44,41,22,10,22,25,29,25,30,16,37,44,13,18
0028152,45,40,49,29,54,51,24,45,57,33,44,48,87,47,46,43,72,52,59,49,22,21,59,56,61,45,50,40,27,24,30
0028200,14,14,13,15,17,10,10,12,22,12,12,11,20,16,18,19,20,15,11,14,13,9,7,14,9,8,8,11,6,4,22
0028300,18,13,23,23,30,28,5,20,25,12,28,13,31,12,12,13,15,21,17,16,15,2,20,19,12,13,6,9,3,6,22
0028348,,,1,1,2,2,,,1,,,1,,,,33,3,4,11,3,12,3,8,4,9,4,11,13,16,11,2
0028356,6,4,6,9,8,6,20,6,9,12,11,5,7,6,9,11,8,7,5,5,11,8,10,5,10,9,5,19,11,6,5
0028357,39,42,33,35,37,45,49,25,48,22,32,45,55,60,86,34,60,65,48,47,38,56,24,75,70,48,15,91,62,95,2
0028370,52,75,75,37,54,7,44,54,53,51,63,82,85,50,84,85,114,81,105,78,134,45,106,84,125,96,84,69,137,113,12
0028380,3,5,0,1,8,5,11,7,2,3,3,4,7,12,3,5,7,3,2,,2,2,3,3,,1,,,,,
0028385,3,10,15,16,12,12,15,13,15,11,9,10,20,17,8,10,13,14,16,8,3,2,6,15,10,16,5,10,7,5,12
0028508,3,3,5,10,1,16,6,8,4,7,9,14,3,2,19,4,7,3,2,4,10,2,10,5,1,,,,,,
0028509,24,30,26,14,29,16,18,32,14,11,11,45,44,21,37,16,32,35,37,22,14,9,48,42,27,23,41,39,24,56,13
0028510,28,17,29,14,30,24,17,10,17,20,5,11,44,25,27,24,21,16,25,19,16,9,20,17,17,18,19,13,20,16,28
0028511,13,14,5,12,25,26,12,11,6,7,18,5,26,4,8,44,18,3,16,6,3,3,11,4,29,4,5,27,12,10,17
0028513,3,2,1,2,,1,1,1,2,2,5,4,7,1,8,,2,1,3,2,2,1,,,3,2,,3,3,3,5
0028514,6,11,9,13,4,8,7,13,11,11,9,,5,10,9,6,10,2,20,5,9,16,3,8,17,2,,,,,
0028515,12,17,12,14,7,4,2,1,,,,15,22,15,7,9,28,10,12,11,9,5,,1,,,,,,,
0028530,,,,,,,1,12,4,,9,7,20,3,15,1,3,1,1,,8,3,3,11,6,2,1,5,7,3,2
0028620,21,54,45,38,46,45,36,44,38,29,31,3,67,56,51,45,45,28,27,45,35,31,56,25,59,29,38,35,58,35,52
0028640,39,59,47,51,54,46,29,35,44,18,25,,79,38,51,20,73,30,35,41,32,44,48,32,66,31,22,22,37,21,29
0028642,53,16,9,9,16,17,5,12,12,16,23,10,13,10,25,13,11,7,13,12,7,3,12,5,26,,,,,,
0028644,25,46,55,23,35,76,41,34,37,55,5,43,66,119,87,68,58,46,49,59,66,64,51,63,55,48,59,30,76,75,47
0028730,20,9,12,20,6,16,17,5,3,3,12,17,4,13,13,15,20,13,15,15,12,11,5,16,9,9,18,3,4,7,28
0028740,35,44,34,23,50,52,42,48,72,39,62,68,78,49,43,31,64,37,46,53,63,52,70,34,63,69,56,46,61,55,73
0028742,20,52,8,15,20,13,6,17,18,7,28,11,2,9,18,10,14,4,6,12,17,12,17,10,12,4,25,9,6,11,4
0028743,43,9,11,17,22,13,29,15,22,5,22,13,19,21,21,16,24,11,6,7,8,14,9,4,17,11,15,14,17,25,12
0028760,78,86,61,55,70,82,33,44,59,48,37,74,71,67,55,43,87,81,61,58,54,61,37,57,64,46,73,86,67,59,65
0028770,3,4,3,4,2,2,7,2,11,18,5,23,17,18,11,16,14,24,12,17,17,20,16,35,19,20,20,19,33,16,42
0028930,2,1,0,2,,,,4,,,,,,1,,,,,,,,1,-1,3,,,1,,,,
0028931,9,8,15,4,10,8,12,18,8,5,13,7,21,7,8,6,16,12,15,8,5,7,10,11,10,5,11,4,14,9,9
0028950,34,51,44,26,48,41,38,41,42,25,29,39,58,57,30,44,60,45,42,60,44,34,50,36,72,44,13,49,35,50,49
0028951,37,44,50,19,28,37,41,56,32,19,29,38,30,41,24,48,45,35,24,31,19,28,38,42,28,39,46,33,23,23,42
0028952,19,9,4,5,6,9,11,11,15,12,8,11,13,14,5,10,6,1,4,8,13,4,24,,,,1,,,,
0028954,14,8,14,11,12,24,8,15,6,7,32,9,30,9,18,7,25,10,20,14,5,13,19,5,10,3,7,3,3,4,10
0028970,14,3,3,12,5,4,7,3,10,2,19,8,24,8,15,9,24,8,8,7,10,3,7,4,3,1,1,1,,,
0029042,17,14,7,5,7,11,18,10,10,7,7,5,21,16,18,4,9,7,8,8,11,5,9,2,11,7,4,4,8,5,4
0029044,16,10,4,2,2,8,5,12,11,12,7,11,6,11,10,9,8,6,8,6,6,5,5,1,11,5,4,7,6,4,5
0752200,2,,2,2,1,3,2,,,1,3,,1,2,,,,7,2,1,,2,,,1,,1,,1,1,1
0752201,6,1,2,,,2,1,2,,,,2,1,5,1,1,,,1,,1,1,1,2,1,2,,1,1,,3
0752202,,,3,2,1,4,,,,7,1,3,2,4,,1,2,2,0,3,3,,1,1,3,2,2,,2,1,
0752204,2,1,4,1,,0,1,4,3,,,1,2,,,1,1,1,4,1,,2,2,1,3,,1,,,,
0752206,2,,2,,,,1,,2,2,,2,,,,,1,1,2,,2,1,1,,1,,1,1,,,
0752208,2,,4,1,1,6,,2,4,3,,1,2,,1,1,0,5,,1,,1,1,3,1,,,,,,
0752212,1,1,,,,1,2,,,2,,2,1,,1,,,5,,,,,,,,,,1,,,
0753500,,2,,,,2,,1,2,,3,2,,1,1,,1,4,2,4,,,1,,2,3,,1,7,,
0753502,6,1,,,1,3,,1,2,4,,6,,,1,2,2,6,2,,,3,,5,1,5,6,2,4,3,5
0753504,1,3,,,2,3,1,,1,,4,2,,,,,,3,1,2,2,,4,,2,1,2,,2,1,
0753506,,,2,3,2,1,,1,1,1,5,,,,3,2,1,,1,2,4,3,,1,,2,3,3,3,,4
0753508,,,2,,,,,,1,2,1,,1,1,1,1,1,1,1,,1,2,,1,,1,1,1,1,1,5
0753510,,,,,1,,,,,1,3,1,,,1,,1,,,,2,1,,,1,,,3,,,
0753520,1,,,1,1,2,,,,1,4,1,,,3,1,1,2,2,,,3,,,,,,1,,,2
0753522,,4,,,2,3,,,1,4,1,,,3,,1,,4,4,1,1,,2,,5,,2,1,5,,3
0753523,1,1,1,1,,,3,,3,2,,,3,1,,1,3,2,,,2,1,2,1,,2,,1,4,1,4
0753526,,,1,1,,,,,1,,,1,,1,,,,1,,,,,,,1,1,,2,1,,1
0781105,,,1,,,1,,1,1,1,1,2,,1,1,,1,1,,,2,3,1,,3,,1,4,,2,
0781110,,,1,,,,,1,1,1,1,1,4,1,,,,,,1,,4,4,1,4,,1,2,2,1,1
0781115,,,,,,,,,,,1,,1,1,1,2,,1,,,,2,1,,3,,,1,2,,
0782000,,,,,2,,,,,,,,,,,,,2,,2,,,1,,,,,,,,
