SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0043352,,314,,10,,100,,,,,,,,,,,,,,,,,,,,,,,,,
0060035,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
0060037,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
0060065,140,99,671,161,237,176,87,191,192,67,120,45,99,166,150,160,169,221,192,115,63,45,140,206,120,125,79,112,109,33,82
0060073,190,54,233,163,226,364,72,174,32,134,6,30,156,63,8,228,209,108,17,32,225,135,101,132,9,17,4,78,26,,10
0060091,418,490,402,324,240,415,160,490,446,88,209,71,139,308,84,46,2,,,4,,,,,,1,,0,,,
0060098,8,,,,,,3,4,10,,6,,24,3,,,,1,2,,,,,,,,,,,,
0060111,12,1,2,4,18,4,2,6,1,1,,6,6,,1,2,20,,14,,,12,2,0,,2,,19,7,1,
0060122,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,1,,
0060123,,,,,,,,,,,,2,,,,,,,,,,8,,,,,,,1,,
0060124,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0060125,5,,,,,,,,6,,,4,0,,,,,,,,0,,,,,,,,,,
0060126,10,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,
0060127,5,,,,,,,,,,,4,,0,,,,,,,0,,1,0,,,,,,0,
0060128,,,,,,,3,1,6,,,,0,1,,,,,,5,5,,1,1,,,,,8,,
0060129,,,,,,,,7,,,,,,,,,,,,,0,,1,0,,3,,,10,,
0060130,,,,,,,,10,,,,,,,,,,,,,2,,,1,,,,,10,,1
0060131,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
0060170,,,,,,,,,,,,,,,,,,,,,1,,,1,5,,,,1,,
0060171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,
0060180,,,,,,,,,,,10,,6,0,,1,10,,3,,,,,,,,,,3,,8
0060181,,,,,,,,,,,,,1,,,3,,,,1,,,,,,,,,,,
0060330,39,50,358,25,30,66,64,76,80,91,199,1,15,,2,,,,,,,,,,,,,,,,
0060374,1,10,,1,,,,2,,,1,,,,,,,,,,,,4,1,,1,1,3,,10,
0060380,2,12,,1,3,,,12,,,2,2,,,,,,,,2,,,,1,,1,1,3,,,
0190912,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
0190926,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
0210805,19,6,,3,78,88,9,184,1,34,1,1,,,,,,,,,,,,10,,,,,,,
0210810,,,,,1,,,,,,,,,160,,,,,,,,,,,,,,,,,
0210815,2,1,,3,89,69,35,23,,41,3,3,25,6,,6,10,2,,6,3,3,,,,,,2,,,
0210825,1,,,,,,,1,,3,,,1,60,,,,,,,,,,,,,,,,,
0210830,7,1,24,3,11,46,38,55,50,105,83,92,21,16,,4,2,11,5,3,1,,2,2,,,,56,,,2
0210905,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
0210910,,,,,24,39,52,101,31,26,12,2,26,12,,6,,,,1,20,,1,14,,2,,,,,
0211700,1,5,4,48,19,27,9,24,9,6,4,4,1,26,4,3,,,,3,,5,,,1,3,47,13,36,,12
0211705,5,5,102,29,57,77,14,130,111,2,56,59,4,,,106,61,2,1,501,,,,,4,,,,79,,
0211710,25,1,1,2,13,44,23,31,6,1,2,,3,2,265,376,2,1,,,5,1,,,,,3,1,1,10,13
0220604,,,,5,1,59,58,3,140,202,1,,,,,,,,,,,,,2,,,,,,,
0220606,,,4,1,,59,,,,,1,1,2,,,,,1,,,,,,,,,,,,,
0220625,,,,,1,5,,1,,,,,,,,,,,,,,,,,,,,,,,
0220650,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
0220760,1,,,1,,4,3,,,1,,4,,,1,,,,,,,,,,,,,,,,
0232600,,,,,,16,,,,21,,,,,,,,,,,,,,,,,,,,,
0232601,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
0232603,,,,,,10,,,,28,,,,,,,,,,,,,,,,,,,,,
0232900,,,,,,19,9,,1,4,,,,,,,,,,,,,,,,,,,,,
0232901,,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,
0232905,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
0232907,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
0232910,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
0236200,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,
0238104,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
0238115,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
0238118,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
0460330,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
0520802,39,,,,480,401,54,16,32,118,,143,24,147,11,154,234,266,231,213,119,13,49,101,100,626,"1,715",721,500,302,300
0521802,40,50,34,4,,,,,,,41,53,19,7,37,32,15,9,21,49,17,,,,,,33,25,21,3,7
0521804,16,26,28,19,13,32,23,39,4,,12,37,17,12,21,19,30,20,17,15,1,,,,,,43,5,13,17,12
0521805,17,5,21,29,18,8,9,,,,7,42,3,23,10,10,3,,,,2,,,,,5,7,7,6,12,2
0521806,13,28,23,27,44,17,22,26,14,31,25,4,13,10,8,24,8,13,9,4,,,,,,1,9,,,7,1
0521807,49,32,22,2,1,,,,,,31,57,22,30,39,21,,,,,,,,,,1,45,,20,44,27
0521814,64,51,75,33,9,,,,,,24,41,22,16,19,34,36,8,,,,,,,,27,61,42,48,22,
0521816,62,21,44,18,9,1,,,,,24,41,36,46,48,5,,,,,,,,,,51,45,53,73,66,8
0521991,,,,,,,,,,,,,6,,,20,,,,6,,,,,,,,,3,,
0522000,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,
0523350,6,,,,,,,4,,,120,,244,120,480,298,306,405,120,738,594,480,492,615,960,"2,194",363,364,60,21,
0523352,,,,,,,,,,,600,60,250,420,480,660,"1,215",435,,494,660,540,0,,,"1,320",6,128,125,540,780
0523356,,,,,,,,,,120,,,,,,,,11,,,,,,,,,,,,,
0523358,,,,,20,,,,,,,,,,2,44,,,,,,,,,,,,,,,
0537507,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
0538036,,,,,,6,,,1,2,,,,,,,,,,,11,,,,,,,,,,
0538048,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,
0538050,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
0538057,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0538058,1,,,,,1,,,,,,,,,,,7,,,,,,,3,,,,,2,,
0605005,,50,25,300,,20,50,,100,,,,,,,,,,50,,,,,100,,,,,,,
0605010,300,,300,420,12,100,100,,,,,,4,100,,200,100,,50,,,,,114,,,,,,,
0605015,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,
0605020,,,,,,,,,,,,,,,,,,,,,,,,469,,,,,,,
0605025,200,50,,325,,,,,100,,100,200,50,,,100,,,50,,,,,199,,,,,,,
0650588,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,
0650591,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,
0650593,,,,,,,,,,,,,,6,3,,,,,,,,,1,,,,,,,
0650594,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
0650595,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
0650598,,,,,,,,1,,,,,,9,1,,,,,,,,,,,,,,,,
0650606,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
0650609,,,1,,,1,,,,1,,,1,,1,,,,,,,,,,,,,,,,
0650610,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
0650611,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
0650612,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
0650613,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,
0650614,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,
0650616,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
0650617,,,7,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0650620,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
0650628,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
0650636,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,
0650641,,,,,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,
0650645,,,,,,,,,,,,,,2,,1,,2,,,,,,,,,,,,,
0650648,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0650650,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0650652,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,
0650654,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
0650657,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0650659,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
0650660,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,
0650664,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
0650666,,,,,,,,,,,,,5,10,,,,,,,,,,,,,,,,,
0650667,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
0650675,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
0650678,,,,,,,,,,,,,1,5,1,1,,,,,,,,,,,,,,,
0650679,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
0650680,1,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0650681,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0650684,2,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0650685,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0651300,10,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0651304,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0651305,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0651306,3,,1,5,3,3,,,,,1,,,,,1,1,,,,,,1,3,2,3,,,,,
0651310,,2,,,2,1,,,,,,,2,,,,,,,,,,,,,,,,,,
0651319,2,1,,1,2,,3,,,,,,,,,,,,,,,,,,,,1,,,,
0651390,,,,,,1,1,,,43,61,48,19,,,,,,,,,,,,,,,,,,
0651391,,,,,,,1,,,4,,,3,,,,,,56,85,,,,3,,,,,,,
0651392,,,,,,,,3,,9,,,,3,,2,,2,61,92,,,,,,,,,,,
0651394,,,1,,2,,,,2,8,,1,,,3,,,,80,70,,,,,,,,,,,
0651404,,,,,,2,,,,19,53,15,3,,,,,,,1,,,1,4,,,,,,,
0651405,,,1,,,8,,,,94,1,,,,,,,,,,,,,9,,,,,,,
0651406,,1,,,,,3,,,21,,1,,,,,1,3,,2,,,1,1,,,,,,,
0651407,,1,1,,,6,,,,17,,,,,3,1,3,,,79,,,,,,,,,,,
0651410,,,,,,9,,,,27,,,,,,,,,,,,,,5,,,,,,,
0651490,,5,,,2,,,1,,2,,,,2,1,,,,34,10,,,,,,,,,,,
0670048,,,,,,,,,,,6,,,,,,,,,1,,,,,,,,,,,
0670056,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
0670606,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
