SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0015410,,,,,,,,,,,,0,0,,,,,1,,,,,,,,,,,,,
0015426,2,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,
0015427,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
0015428,1,2,,1,1,1,,,,,,,,,1,,1,1,,7,,,,,,,,,,,
0031903,,2,3,3,4,3,3,1,1,2,2,4,2,,,2,2,3,3,1,1,1,,,,,,,,,
0042801,24,4,15,8,18,4,13,23,10,9,10,7,17,,123,3,7,9,6,20,7,,12,10,19,9,20,1,2,,7
0100150,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
0140257,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
0151591,,,2,,,,,1,,1,,1,,,,,,,,0,,,,,,,,,,,1
0236550,,,,,,,,82,,13,,,1,,,,,,,,,,,,,,,,,,
0250100,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
0301610,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
0513000,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
0631260,,,,,,49,,,,,,,,,,,,,,,,,,48,,,,,,,
0700048,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0700049,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,
0761620,85,77,81,93,36,235,138,121,0,1,49,194,213,94,50,132,67,61,31,110,84,95,73,207,74,112,66,54,35,2,50
0761630,,,,,,,,,,,,13,6,5,13,4,11,4,9,3,14,7,4,11,9,7,2,,,,
0761632,,,,,,,,,,,4,6,40,6,16,23,20,1,2,,,1,,,1,,,,,,
0761633,,,,,,,,,,,,7,12,3,19,6,6,17,10,15,11,7,5,2,,,,,,,
1010100,,,,7,,,,,1,1,,,25,,,2,,,,1,,,,1,,,,,,,
1190050,,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190152,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,
1190156,13,11,14,12,19,10,9,10,27,11,11,9,13,28,36,25,42,50,48,33,45,30,38,35,57,50,51,47,54,101,91
1220100,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
1220250,62,2,5,1,32,5,7,9,2,9,10,4,1,5,8,5,20,,5,,,1,11,,1,,,,,,
1220251,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220252,104,9,3,5,51,15,7,12,7,6,13,6,7,1,10,2,19,1,,,,1,1,2,1,,,,,,
1220253,9,29,1,22,1,64,19,29,15,1,,,,,,,,,,,,,,,,,,,,,
1220254,80,18,6,13,,13,24,11,4,1,4,3,,,,,,,,,,,,,,,,,,,
1220298,,,48,91,93,78,34,74,39,41,15,5,3,4,,,,,,,1,,,,,,,,,,
1221415,,,,,1,1,,,1,,,,,,2,1,,,1,,,,1,,,1,,,,,
1270001,6,12,13,3,6,1,25,14,19,92,2,11,1,,1,16,7,8,52,14,9,16,1,40,57,45,104,48,16,24,3
1270030,6,,4,2,,1,1,8,,1,,,,,2,,,1,,,,,1,,1,,1,,,,
1280011,600,,"1,000",,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,
1280021,"1,500",,"1,600",,,"1,600",,,,,,,,,,,,,,,,,,,,,,,,,
1280050,400,,600,,,600,,,,,,,,,,,,,,,,,,,,,,,,,
1280300,5,8,1,24,,3,8,1,11,1,,4,7,1,11,1,,,,,,1,4,,7,6,3,7,1,,1
1280305,9,7,7,15,10,,,,14,8,,,,,,,,,,,,,,,,,,,,,
1280310,,,,,,,,,,,,1,7,,12,3,,,6,6,,,1,,3,6,4,4,8,,
1320010,,,2,3,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
1320020,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1320030,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
1320040,,1,,1,,,1,1,,2,,,,,,,,,,1,,,,1,,,,,,,
1380200,6,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
1380400,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1380410,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1380450,6,,,,,1,,,,4,,,,,,,,,,6,,4,,,,,,,,,
1380460,1,,3,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,
