Número de artículo,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0011030,1,3,1,3,6,2,22,12,36,1,6,15,1,,,,2,,,1,,,,,,,,,,4,
0011380,363,"1,520","3,108",36,333,"4,594",75,"1,488","2,150",382,"1,671","2,456",743,"1,186",19,3,,,,,,,,,,,,,,,
0011610,,,,,,2,,,20,,,,,,,,,,6,30,,,,,,,,,,139,
0011613,,,,,,,,,,,,,50,,,,,110,,,,,,,,,,,,,
0011614,,30,,8,24,,,4,126,,18,,,,,,,,,,,,,,,,,,,,
0011615,,,,33,200,,,40,,,,,16,,,,,14,,14,,,,,,,36,,,,
0011616,194,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,
0011618,,10,,,,,,,,,,,30,,,,10,8,,,,,,,,,,,,,
0015583,,,,,,,,,,"7,218","1,200","2,000",200,,,,,,,,,,,,,,,,,,
0030298,863,481,122,131,218,790,400,451,133,,6,,,,,135,,,,,,,,,,,,,,,
0030300,242,425,283,36,450,420,184,122,106,30,26,67,53,18,23,6,,20,,65,25,,16,,,,1,12,,,
0030302,8,,,6,,8,,18,4,6,,,10,,,,,105,,,,,,,,,,,,,
0030376,66,,6,112,6,,0,5,,20,4,13,7,17,,2,,,,1,4,,,16,,,,2,,1,
0030429,18,36,113,74,89,42,,3,75,24,,35,50,2,39,2,24,,1,24,2,4,,,12,8,,6,2,,
0030580,36,5,25,23,2,5,145,11,,,,,,,,,,,,,,,,,,,,,,,
0030583,8,15,23,10,60,20,2,32,81,3,10,1,,,,,,,,,,,,1,,,,,,,
0040641,41,20,,7,1,20,4,110,,1,,29,6,,18,18,15,25,14,4,9,3,2,20,,2,,4,3,4,4
0040661,8,42,2,44,9,60,,6,,4,3,2,30,6,6,5,,,,1,,5,,,,50,,1,,,
0040670,5,7,84,,,,,,18,3,17,1,20,,,,22,21,,,,,,,,,,,,,
0040671,4,,,1,,,,19,,,,11,24,12,22,28,50,2,,,12,21,74,,2,20,,,8,,
0040672,,,17,4,,0,2,2,4,,4,6,2,12,,9,,,,11,,,,1,,4,,20,2,,
0040680,18,1,24,108,4,,,31,100,,,,,,,,,12,,,,,,0,3,285,,,,,
0040681,10,44,8,38,186,36,27,,6,10,13,4,,,,,,,,,,,,102,,,4,,4,2,2
0040682,6,1,3,20,56,4,6,25,2,2,14,3,4,4,12,20,117,1,,22,50,,71,6,,,,1,,,
0140052,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
0217000,,,,,,14,4,,,,,,,,,,,,,,,,,,,,,,,,
0217005,100,14,20,17,247,,96,4,22,,29,,5,,1,34,,65,,85,,58,20,,10,36,11,,,54,
0217010,25,128,49,402,212,58,127,38,40,50,,22,,131,9,4,44,34,19,,4,12,,,4,8,14,,,16,
0217015,65,41,18,36,128,16,92,6,30,50,,2,686,,,11,10,2,1,,32,10,,,4,86,19,70,4,39,
0217020,132,,4,14,54,12,12,24,42,100,,,,3,4,,6,,1,14,6,4,10,1,,,,12,,,
0217025,25,200,0,31,4,,,1,,,,,,,,,,,10,38,,,,,,,2,,,4,
0217030,245,,,62,8,68,20,90,64,,,2,,,,,43,4,1,46,,,,6,,6,52,25,,12,24
0217035,,4,,19,,56,,,,,,,,3,6,,,8,1,1,8,,,,,,,,,,16
0217040,,,,,,,,,,,,,,,,6,,0,20,1,,,,,,12,,,,,
0217100,4,,0,120,,,,,,,,,,,,,,,,,,,,,,,,,,,
0217105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
0217115,199,36,6,15,67,63,38,102,233,348,72,15,62,62,,190,20,298,166,19,136,51,20,50,105,116,18,50,304,380,
0217120,,8,20,200,,10,,,12,45,,,,25,,,,8,12,,,,20,8,24,6,,68,25,8,6
0217205,37,"2,846",162,32,59,437,10,64,70,26,54,408,12,1,6,78,38,,42,8,19,,15,,22,,22,,,6,
0217210,,20,,18,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0217215,18,122,32,4,6,,4,,,14,,,12,,,,,,,,,,,2,,,,,,,
0217250,339,250,746,465,145,,,,,,,,,,,,,,,,,,,,,,,,,,
0240200,263,417,332,134,315,141,8,202,105,52,33,10,71,42,4,13,20,260,121,6,,,,,,2,,,,,
0240204,635,"1,009","1,129",262,18,35,1,274,243,215,66,50,34,16,86,65,70,152,506,13,9,,,,,,,,,,
0240205,"1,304",,,,,,,283,163,393,194,117,84,71,10,112,"1,107",619,"1,041",,7,,,,,,,,,,
0240206,,,,,,,,650,509,441,,,,,,,,,,,,,,,,,,,,,
