SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0010034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
0010694,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,
0040106,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
0040110,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0040112,,,15,7,2,,,,,,,,,,,,,,,,2,,,,,,,,,,
0040114,,,52,7,2,,,4,,2,,,10,,,,,,,,,,,,,,,,,,
0040116,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0040118,,,21,2,,,,,,0,,24,11,,,28,,,,,27,,,,450,,,,,,
0043700,,60,7,934,31,6,114,201,4,50,,304,100,200,120,1,104,100,25,50,3,,,12,4,20,6,,100,4,2
0043705,41,6,50,8,27,27,,,3,3,19,,100,4,50,6,100,1,,,100,,20,4,250,,,,1,,
0050012,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,3,
0050017,1,,17,,15,,2,,5,2,,10,15,22,10,,,25,24,,,10,1,27,10,5,,5,12,,
0050038,,,14,,2,,,,1,,,,,1,,,1,,2,,4,,,,,,,,,,
0050039,10,,13,,,5,7,4,,3,3,,,,,,,6,,,5,6,,,1,,6,,,10,
0050043,163,81,29,77,105,64,78,123,107,161,36,120,82,74,119,69,45,85,25,,2,,,56,30,64,40,112,50,141,77
0050057,,2,,1,,,,,,,,,6,,5,6,,,,,,,,,,,,,,,
0050058,116,66,33,4,3,9,20,,40,15,27,2,18,10,31,6,,,,,,,,,,,,,,,
0050059,3,,,4,,,,,5,4,,,6,13,5,6,,,6,,20,12,9,1,1,,,,4,1,1
0050075,8,253,72,7,48,1,81,15,19,9,92,36,12,6,,11,4,7,,54,33,5,24,15,36,,7,,,,
0050076,24,2,,1,1,71,26,29,40,4,,15,4,11,,2,5,6,10,,12,,18,6,8,7,3,2,,4,2
0050077,8,,,,,2,,,,,,2,,,6,5,1,,,,,,,,,0,,,,2,
0050078,4,5,,10,,7,0,,8,,,2,9,8,2,,16,2,,2,,,,,6,2,,,1,3,2
0050079,2,,,1,,1,,,4,,,0,,,,,,,,4,,,,,,,,,,,
0050082,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
0050083,,,,,,,7,4,,36,1,,,,,,,,,,,,2,,,,,,,,
0050084,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,
0050112,39,28,23,72,71,13,98,106,74,33,7,120,71,21,36,93,62,91,27,42,88,53,6,114,66,71,71,18,94,22,26
0050115,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
0050116,5,7,,,,,,5,,11,3,25,10,,3,,8,16,,,2,,4,3,2,,14,24,1,33,112
0050117,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
0050124,1,15,,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
0050148,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
0050152,22,82,26,12,13,32,14,42,32,31,22,32,35,44,56,27,18,34,55,29,33,12,118,73,15,,31,38,20,,56
0050153,31,34,41,20,39,17,12,32,34,55,6,34,46,30,34,36,20,30,27,1,28,15,34,11,22,10,11,6,24,23,19
0050158,10,30,10,,6,14,22,,6,4,12,15,,34,34,26,41,5,26,17,28,,55,,26,,12,31,47,6,
