SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0010104,206,425,581,135,631,"1,037",310,10,317,350,32,"1,080",106,115,200,,125,22,20,200,100,,100,41,104,9,33,122,104,152,24
0010106,406,368,226,113,466,522,494,284,446,409,540,444,300,80,190,,75,110,26,80,100,50,,93,106,,37,,50,100,100
0010108,322,362,316,326,306,567,356,493,"1,173",415,323,444,59,,200,,170,20,2,158,100,18,10,39,20,14,43,100,177,,5
0010110,121,131,"1,115",57,107,119,261,369,490,191,58,60,260,156,172,6,259,10,10,124,108,20,,211,21,33,13,75,22,,12
0010112,22,118,8,128,3,12,25,125,353,7,153,110,100,8,8,55,209,,,166,51,4,3,150,,120,,50,,,100
0010114,6,100,301,101,98,54,90,142,330,192,100,209,275,50,50,243,,,12,175,130,56,,45,111,,15,,,10,12
0010116,,154,158,166,3,2,32,114,120,21,31,4,24,139,360,74,60,22,,37,14,138,66,29,43,,147,11,30,,
0010118,5,,,,,12,2,12,10,,10,12,32,4,4,1,,2,,,,,,,,,,,3,20,10
0010123,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
0010125,,,,110,,,50,,6,,,,,,,114,,,6,,100,,,,,,,,,,
0010129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0010141,,4,,2,,,,,,,,,2,,,,,,,,,,,2,,,,,,1,
0010160,,,6,33,,,,,,,,,,,,,,,,,,,,,,,,,,2,
0010161,,,,61,,,,4,,,,,,,,,6,19,,122,,6,1,101,,,,,,,
0010165,,,4,7,,,,,,,,,,,,,,,,,,,,5,,,,,,,
0010310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,
0010312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,
0010314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,
0010324,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0010347,186,20,20,425,55,50,,20,66,52,,52,6,53,10,302,112,63,180,30,24,55,19,120,6,102,63,3,118,50,12
0010351,,,,,,,2,,,,,,14,24,,4,4,4,2,10,8,21,,,,,,,,,
0010355,4,10,52,56,40,14,41,63,246,57,18,45,14,8,14,265,89,68,115,101,67,127,111,298,42,66,19,153,44,69,96
0010357,6,,,,6,,4,14,230,66,12,81,32,41,40,150,118,169,75,40,11,30,39,38,154,34,121,240,,38,12
0010358,18,27,22,78,9,42,35,104,207,10,6,50,8,,6,164,122,32,77,55,,29,29,55,,122,106,101,31,168,2
0010394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0010396,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,1,
0010445,,,,7,,2,7,14,4,,,,25,7,,17,,8,6,42,11,55,8,10,20,18,16,5,12,14,3
0010446,,,,,,,10,12,,,,,29,6,,26,,1,,12,,2,,,,2,,4,14,1,12
0010448,3,,12,6,8,,7,3,6,,,22,4,4,8,5,4,2,6,1,2,2,,,2,5,3,9,,2,
0010449,54,22,48,5,16,6,6,6,4,,,,4,1,2,16,4,4,2,4,,1,3,,3,85,,,,,
0010480,200,,,9,,,,,,,,,,,,,,7,112,,,,10,400,,,,50,,50,
0010482,50,256,110,3,,,,60,44,4,,50,,,200,200,100,1,12,17,6,88,10,22,12,,,,,,1
0010484,12,,,217,5,18,22,20,20,342,21,87,131,181,108,33,142,21,,100,99,74,10,216,24,,35,50,9,7,13
0010486,60,,4,274,48,,102,,,11,4,88,58,109,31,41,100,-72,,,70,5,10,37,14,104,22,60,90,10,10
0010488,65,7,48,148,18,24,9,61,23,153,22,257,59,182,66,220,208,116,30,26,32,66,10,4,,,,,,,
0010490,4,,1,,36,,,,,,,,4,,5,,100,40,,,12,30,0,6,2,30,,,,1,8
0010492,4,,,6,,8,,17,24,27,29,10,32,37,33,56,100,,,12,5,17,10,10,,28,,2,,18,22
0010494,100,2,20,15,10,,5,45,39,5,93,20,10,22,24,155,144,2,20,54,19,55,2,10,22,16,11,26,,4,2
0010496,12,3,8,19,,10,8,120,85,4,6,,24,24,4,36,125,5,107,65,,,2,4,,20,35,7,,18,41
0010498,28,10,10,30,15,14,,,,,4,8,30,11,104,46,,12,2,,20,,5,196,,,22,12,,5,35
0010499,2,,,12,,3,,10,,,,10,,2,10,11,3,2,2,,,,,7,4,3,3,2,8,2,
0010500,4,,,,5,,,40,10,8,14,10,3,,,,,40,,175,,,,1,7,24,13,7,2,2,2
0010501,,,,,,,,,,,,,,,,,,19,,40,,,,,3,8,3,1,,8,
0010502,,6,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,3
