SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0013121,3,1,,1,1,1,,1,1,1,,1,,2,,1,,,,4,,0,1,,,,1,,1,,3
0013136,,,1,,1,2,4,2,,2,,5,,,,,,,,,,,,,,1,,7,4,1,
0020503,34,44,80,54,19,35,46,31,37,32,21,40,47,25,53,55,39,66,21,27,30,18,47,38,53,29,43,47,33,43,33
0020589,"1,866","2,883","5,949","4,097","5,687","5,931","5,415","1,763","3,598",2,"6,152","1,995","9,847","7,975","8,387","6,080","8,663","5,906","5,278","4,920","6,553","4,983","8,889","7,534","4,258","8,338","10,431","9,971","9,971","8,111","7,280"
0020590,"1,060",932,789,"1,237","2,427",918,"1,395",819,"1,084","1,262","1,419",834,"1,569","2,390","1,604","2,961","3,063",935,"1,799",898,"1,303",670,943,6,20,50,0,1,,,
0020668,71,19,45,34,40,29,46,31,27,32,58,21,40,20,46,49,26,72,5,38,42,24,49,71,68,67,57,57,62,37,35
0026069,,,,,,,,,,,,,,,,,1,,,,,1,6,2,2,2,58,4,86,30,53
0026081,,,,,,,,,,,,,,,3,1,,,6,8,3,6,8,10,4,6,7,13,20,14,
0026088,,,,,,,,,,,,,,,,,,,,,,,9,4,6,4,4,6,1,3,
0026090,,,,,,,,,,,,,,,,,,3,2,8,4,8,15,6,25,5,10,20,26,32,17
0026092,,,,,,,,,,,,,,,,,,,,,,,6,12,13,22,2,29,7,8,16
0026096,,,,,,,,,,,,,,,,,,,,,,12,19,18,20,27,10,14,29,10,27
0029049,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,1,
0029050,,,,,,,,,,,,10,12,7,17,7,5,2,3,6,5,9,2,7,10,7,6,6,8,6,2
0110018,9,3,1,4,5,7,6,2,4,,4,4,2,4,1,11,8,,9,7,6,12,7,15,11,33,,,7,10,16
0110050,40,46,38,37,43,49,90,39,49,72,54,71,50,53,33,35,75,46,58,23,63,12,79,7,22,33,60,,57,23,22
0110051,19,21,40,31,47,19,45,55,8,25,39,1,34,17,23,28,42,14,48,3,22,6,70,3,9,11,32,23,25,25,24
0110052,24,46,47,46,60,,2,,,49,30,70,63,81,31,19,98,44,71,57,67,21,122,,68,8,92,29,60,37,63
0110053,49,24,14,22,17,19,33,32,19,24,12,38,44,23,35,13,18,14,26,23,20,4,19,8,8,9,23,11,11,35,3
0110054,56,60,46,62,92,61,86,75,56,34,50,96,130,123,63,102,75,69,129,85,118,38,114,,150,,108,39,86,88,56
0110055,,6,7,11,27,22,19,25,20,16,4,18,87,10,22,23,25,8,11,1,4,4,10,22,30,22,17,13,4,21,18
0110056,,35,41,39,57,28,17,12,54,30,23,72,35,87,16,56,56,29,66,24,34,34,48,65,33,9,50,17,44,34,44
0110057,,67,10,7,22,19,7,36,16,27,15,42,49,12,4,47,30,4,15,4,16,4,11,5,32,13,21,7,9,27,24
0110058,30,29,9,11,29,33,35,32,20,20,7,19,,11,11,17,29,4,20,18,31,17,30,11,39,3,16,31,51,3,22
0110060,19,23,17,17,27,23,5,22,21,8,20,50,45,35,27,52,38,13,43,13,27,9,17,13,27,19,24,24,39,6,13
0110061,14,11,9,21,21,4,3,10,2,8,8,2,5,16,11,10,8,2,7,3,,11,17,1,26,1,6,15,10,9,6
0110062,3,14,4,3,14,9,2,7,3,5,14,10,6,23,,6,18,3,9,1,7,3,10,6,14,1,7,5,5,9,6
0110063,1,,1,3,16,1,1,1,3,3,,4,4,1,2,2,2,,4,,5,1,,,2,2,,3,,,1
0110064,20,30,29,13,46,17,23,11,38,25,10,31,34,25,14,22,57,7,22,,21,18,10,10,10,20,30,11,14,1,11
0110068,,4,9,6,18,14,9,,,13,4,18,14,3,7,10,16,2,4,3,6,7,12,,3,5,8,7,21,2,3
0110101,3,18,9,15,37,14,19,31,44,15,30,9,21,27,5,11,5,2,,,,,,2,,,,,,,
0110102,,,,6,40,5,28,48,22,13,6,20,39,17,5,25,30,15,16,4,12,23,21,17,21,12,24,7,28,8,20
0110103,79,147,187,56,92,62,177,72,79,139,78,90,79,142,84,84,116,38,34,50,20,24,33,27,23,21,58,7,26,30,22
0110104,,,,130,38,32,71,27,38,54,16,54,56,23,29,41,36,28,16,3,7,21,34,23,17,3,7,28,16,28,27
0110105,260,109,181,110,126,191,170,104,60,232,96,120,103,228,205,118,152,54,117,73,202,17,51,6,163,36,63,7,108,85,84
0110106,97,156,112,84,149,124,161,127,83,171,90,117,30,81,36,74,46,45,45,122,69,15,134,42,43,46,102,62,203,51,91
0110107,"1,531","1,435","1,436","1,328","1,144","1,384","1,415","1,321","1,127","1,213","1,057","1,415","1,175",776,723,969,702,859,862,953,955,500,"1,090",745,876,585,"1,273",606,"1,976",2,799
0110108,55,118,102,155,133,117,116,43,40,75,65,95,62,64,58,54,80,23,50,43,147,23,40,83,39,103,22,26,237,4,18
0110109,421,595,268,361,398,539,531,337,412,636,503,561,469,825,343,362,365,438,448,300,307,226,357,174,280,363,207,142,349,225,239
0110110,76,95,74,46,42,103,90,40,69,28,136,48,14,37,90,12,53,99,91,47,77,59,90,4,20,121,15,49,23,110,78
0110111,"1,618","1,403","1,694","1,452","1,765","1,700","1,811","1,445","1,389","1,238","1,357","1,290","1,494","1,136","1,288","1,535","1,029","1,400","1,107","1,155","1,037",792,"1,174","1,404",405,1,"1,360","1,182","1,220","1,194",833
0110112,116,93,112,194,177,221,269,175,207,210,197,41,361,115,700,423,4,6,251,335,320,162,326,365,288,346,441,56,294,313,247
0110113,346,480,363,240,260,330,205,128,382,290,299,239,282,109,146,232,89,323,164,324,16,57,215,136,208,162,80,119,178,331,153
0110114,22,12,25,12,9,4,15,11,20,3,11,6,1,3,,4,12,3,22,4,16,6,13,8,14,29,4,5,13,6,56
0110115,"1,208","1,342","1,335","1,430",551,"1,141","1,145",903,4,"1,000",529,481,665,799,895,"1,421","1,092","1,054",744,863,"1,011",690,874,917,"1,056",889,952,854,"1,245",937,666
0110116,14,28,43,19,19,46,39,22,18,23,30,44,14,38,50,21,19,17,8,4,28,1,28,11,41,9,3,3,12,21,10
0110117,449,170,48,111,338,321,350,252,35,323,285,317,258,221,236,327,292,279,255,223,245,244,234,165,220,266,213,8,405,271,215
0110118,7,13,6,36,26,9,16,22,11,12,19,19,21,16,14,14,15,15,5,5,9,5,14,9,12,10,13,7,24,,9
0110119,586,491,596,578,448,443,515,497,291,536,429,521,465,309,431,547,502,345,579,465,425,362,390,294,430,385,459,193,434,337,373
0110120,4,10,18,20,9,5,6,11,9,15,13,2,9,10,8,17,10,7,10,9,16,5,4,4,22,15,9,2,17,3,6
0110121,88,21,78,60,44,77,48,61,64,80,56,55,105,99,47,53,74,31,58,64,53,63,31,69,37,50,53,52,62,36,42
0110122,3,7,4,,7,7,3,12,4,14,2,4,1,2,,,2,2,1,,3,,5,2,6,3,2,0,9,1,1
0110123,179,231,225,174,206,252,172,196,179,206,140,238,185,209,111,172,132,171,352,146,150,180,210,145,112,170,218,175,219,125,88
0110124,,,,,,,,,,,,,,,,,,,,,12,,,,36,,28,12,33,6,
0110126,,,,,,,,,,,,,,,,,,,,6,6,,,,21,11,7,10,21,13,7
0110150,61,3,4,13,6,21,73,22,18,101,87,,,,,64,14,35,44,35,23,12,28,30,18,41,23,27,49,9,17
0110154,173,70,88,132,105,51,114,59,146,122,96,,,,,101,35,41,29,101,152,120,-28,97,16,36,56,64,35,28,15
0110156,"1,109",596,812,508,279,412,322,449,633,439,520,"1,010",383,584,701,532,4,275,605,719,812,421,758,476,798,365,"1,084",239,579,430,"1,178"
0110158,311,272,216,249,252,262,221,189,414,416,291,510,288,222,277,565,295,162,341,506,448,206,449,333,512,143,677,207,452,320,587
0110160,612,315,413,329,251,228,248,294,301,292,475,601,375,384,520,920,308,109,368,333,491,251,457,238,571,136,761,234,358,273,391
