SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0021000,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,
0021001,2,2,4,5,,,,,,7,,18,,,,55,,,,15,1,,,,,,,,,
0021002,,1,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,
0021003,,,,,,2,,,,2,,,,,,,,1,,,5,,,,,,,,,
0021004,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
0021007,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
0021008,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
0021009,,,,,,,,,,1,,,,,,,,,,,9,,,,,,,,,
0021010,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
0021011,,,,,,,,,,3,,,,,,,,,,,2,,,,,,,,,
0021012,,,,,,,,,,5,,,,,,,,1,,,5,,,,,,,,,
0021013,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021016,,1,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,
0021017,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
0021018,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
0021019,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
0021020,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
0021023,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
0021028,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
0021029,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
0021031,,,,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,
0021032,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
0021033,,,,,,,,,,2,,,,,,,,1,,,1,,,,,,,,,
0021036,,,,,,,,,,4,,,,,,,,,,,10,,,,,,,,,
0021037,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
0021038,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
0021039,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0021040,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
0021041,,,,,,,,,,3,,,,,,,,1,,,5,,,,,,,,,
0021042,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,
0021045,,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,
0021048,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
0021115,,,,,,,,,,2,,,,,,,,,,4,4,,,,,,,,,
0021116,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,
0021117,,,1,1,,,,,,,,,,,,,,,,7,,,,,,,,,,
0021118,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
0021119,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
0021120,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0021121,,,,1,7,,,,1,,,1,,,,,,,,25,46,,,,,,,,,
0021122,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
0021123,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,
0021125,,1,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,
0021126,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
0021127,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
0021128,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
0021131,,,,,,,,,,1,,,,,,,,3,,19,,,,,,,,,,
0021132,1,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,
0021133,,,,,,,,,,1,,,,,,,,2,,7,,,,,,,,,,
0021134,,,2,,,,,,2,1,,,,,,,,,,,,,,,,,,,,
0021135,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
0021136,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
0021137,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,
0021138,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0021139,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
0021140,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
0021142,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0021143,,,,1,,,,,,,,,,,,,,,,5,,,,,,,,,,
0021145,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,
0021146,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,,
0021147,,,,,,,,,,,,,,,,,,,,12,,,,1,,,,,,
0021148,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
0021150,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021156,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,
0021160,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
0021161,,,,,,,,,,1,,,,,,,,,,13,,,,,,,,,,
0021171,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
0021172,1,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,
0021173,,,,1,,,,,,,,,,,,,,1,,9,,,,,,,,,,
0021174,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
0021175,,,1,,,,,,,1,,,,,,,,,,4,,,,,,,,,,
0021176,,,1,,0,,,,,4,,,,,,,,,,,,,,,,,,,,
0021177,,1,,,,2,,,,2,6,,,2,,,,,,7,,,,,,,,,,
0021178,,,,,,,,,,,,,,,,,,,,17,8,,,,,,,,,
0021180,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
0021186,,,,,,,,,,,,,,,,1,,3,,4,2,,,,,,,,,
0021187,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,
0021188,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0021189,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,
0021190,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,
0021191,,,,,,2,1,,,1,,,,,,,,,,,2,,,,,,,,,
0021192,,,,,,,,,,1,,,,,,,,1,,5,,,,,,,,,,
0021193,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
0021194,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021195,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
0021196,,1,,,,,,,,,,,,,,,,,,11,,,,,,,,,,
0021197,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
0021199,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0021200,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,
0021201,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021210,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
0021216,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
0021220,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
0021221,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
0021222,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
0021223,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
0021224,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
0021226,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
0021227,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021228,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
0021229,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
0021231,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
0021233,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
0021236,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0021237,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0021239,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
0021243,,,,,1,1,1,,,1,4,,,,,,,,,,,,,,,,,,,
0021250,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,
0021252,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
0021266,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
0021281,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
0021775,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021785,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021786,65,52,23,80,27,14,11,24,47,13,23,7,47,8,31,34,25,24,7,1,1,6,43,1,24,16,,4,,
0021787,125,139,70,157,91,28,29,68,103,18,57,81,83,150,2,112,124,53,,1,,1,,,,,,,,
0022875,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
0022878,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0022879,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
0022885,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0022886,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0022888,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0025196,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0025202,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
0025204,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
0025207,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
0025208,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
0025209,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
0025210,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
0025212,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
0025214,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
0025216,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
1220401,0,2,7,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,
1220403,2,2,8,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,
1221301,45,114,68,79,165,104,201,49,142,69,126,82,81,127,83,282,190,192,148,96,417,,,,,,,,,
1490154,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,
1490591,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
1490592,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
1490593,,,2,1,,,,2,1,,,,,1,,,,,,,,,,,,,,,,
1490594,,,,1,,1,,0,,,1,,,,,,1,1,1,1,,,,1,,,,,,
1490596,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1490597,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1490598,,,,,,,,,1,,,,,,,,,,,,,,,,2,,1,,,
1490599,,,,,,,,4,,,,,,,,,,,1,,,,1,,,1,,,,
1490841,,,,,,6,9,22,9,4,7,16,2,2,4,14,37,4,,,,,,,,,,,,
1490844,,,,,,2,2,2,3,1,1,5,2,,1,3,1,2,2,3,1,,,3,,,,,,
