SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0027920,2,,,,,,,2,,,,2,,2,1,,3,1,2,1,,,,,3,3,,,,,
0027921,,,,,,,,,,,2,2,2,3,1,3,3,1,1,1,2,,2,4,,,2,2,2,4,2
1177320,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,
1177322,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,3,2
1177324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1177385,,,,,,,,,,,,3,3,4,1,,2,5,3,7,8,3,14,,8,4,,,,,
1177390,,,,,,,,,,,,6,6,5,6,2,8,9,6,7,8,10,14,9,10,3,5,3,6,,8
1177395,,,,,,,,,,,,1,2,2,1,,1,,,,,,,,2,1,1,,,,
1177405,1,,1,0,1,,1,,,2,,,,,,,,,,,1,4,4,4,3,,,,,5,2
1177416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1177420,2,1,,3,3,,3,2,1,1,2,2,1,3,,2,5,3,5,4,1,1,,2,1,2,1,3,1,2,1
1177440,,,,,,,,,,,5,3,3,5,4,8,8,5,1,10,,4,7,7,8,3,2,2,2,2,1
1177445,,,,,,,,,,,,9,2,3,9,5,2,5,1,2,3,2,5,1,1,,,,,,
1177450,,,,,,,,,,,3,2,4,5,3,,2,1,4,1,2,1,4,1,4,6,3,2,3,1,1
1750225,,,,,,,,,,,,,,,,8,7,3,9,4,8,3,8,11,19,,8,15,4,8,10
1754100,,,,,,,,,,1,,2,1,,1,,3,1,,1,1,,1,1,,2,,,,1,
1754105,,,,,,,,,1,,1,,,1,,,,1,1,1,,,1,1,1,,1,,,,
1760630,7,7,2,10,7,9,4,13,3,6,2,9,4,11,,2,5,8,5,7,2,2,1,4,3,3,5,3,3,3,1
1760631,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,1,2,1,6,3,1,1
1760635,9,7,8,10,9,8,11,12,4,7,7,13,11,5,7,14,3,9,7,6,5,4,4,5,9,6,12,7,,2,4
1760639,1,,,2,2,1,3,1,2,2,,1,,3,,,2,,1,3,3,,,1,,5,3,3,1,,2
1760807,,,,,,5,5,6,5,,7,,3,2,4,,6,3,1,2,5,4,11,3,6,6,6,4,3,2,3
1760810,1,9,8,9,13,19,6,12,7,8,10,6,8,9,5,10,6,5,6,3,6,,10,11,3,10,15,7,9,5,13
1760815,2,2,6,8,8,10,3,5,4,11,8,6,11,6,,11,7,4,13,5,4,4,10,6,10,20,9,8,8,7,13
1760820,,14,20,19,25,19,12,24,29,13,19,17,27,15,27,16,14,20,27,20,24,17,33,20,35,29,29,30,26,17,20
1760825,1,5,9,10,5,,15,6,14,8,19,8,11,10,8,12,8,8,6,3,3,6,11,13,10,4,3,3,10,10,7
1760830,3,11,10,12,13,17,29,15,19,6,11,16,12,10,9,11,12,15,13,11,12,1,9,10,9,17,12,30,26,37,20
1760835,4,14,31,35,33,33,12,41,13,17,13,26,40,48,6,48,73,10,8,54,10,12,19,12,13,11,13,19,11,10,12
1760840,1,,4,,6,2,1,2,,,2,,,1,1,1,1,1,1,,4,,,2,2,1,3,3,3,2,5
1760845,,1,1,3,6,1,4,2,,2,1,4,,1,1,,1,1,4,1,2,1,2,4,3,4,,2,3,3,
1760860,,1,3,1,,1,1,,1,,1,1,1,,3,,,,1,,,2,,,,1,1,1,1,1,
1761000,,,,1,2,4,4,3,3,1,4,2,1,5,1,1,3,,6,1,3,3,3,7,9,,6,3,3,5,3
1761003,,,,,,,,,,,,,,,,,,,,,,,1,5,7,3,3,8,8,3,2
1770006,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1
1770007,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2
