SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0011432,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0043150,,,,1,3,,,1,,,,5,,,,73,,,0,,,,,1,,1,3,,1,2,1
0140117,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,
0220138,8,4,-1,1,7,5,3,,,1,,2,,,,,1,21,33,,,,,,,,,,,,
0221014,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
0221016,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
0300330,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
0380100,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
0620008,,,,2,,,,1,,,,,,,,,,,2,,,,,,,,,,,,
0620009,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,
0620010,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,
0620011,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
0620013,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0620014,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
0620026,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
0620027,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
0620028,,,,,,,,,,,,,,,,,,,,,2,,1,,1,,,1,,,
0620029,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,
0620030,,1,,,,1,1,20,,20,,12,,17,,,,,24,1,26,,,1,14,1,,,7,7,
0620031,36,25,,1,36,7,60,21,25,1,,67,,8,20,,10,11,12,27,34,15,,,,,,,,,
0620032,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
0620034,,,,4,,1,,,,,,1,,,,,,,2,,,,,,,,,,,,
0620035,,,,,,,,,1,,1,,,,,,,,2,,,,,,,,,,,,
0620036,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
0620038,,,,,,,,,,,1,,,,,,,,,1,,,1,1,,,,1,,,
0620039,1,,,2,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
0620047,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
0620050,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,
0620054,,,,,,,,1,,,,,,,,,,2,2,,,,,,,,,1,,,
0660090,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0660180,15,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0751500,,,,,,10,16,5,31,28,6,8,22,7,12,8,46,11,5,7,10,2,59,14,45,12,18,,19,,
0761590,6,3,9,21,13,119,9,9,9,12,4,13,12,6,3,7,5,5,2,5,,1,,,,,,,,,
0761591,12,23,13,48,20,120,11,12,11,6,12,41,27,20,9,25,7,,,,1,,,7,,,,,,,
0761592,2,3,,5,,130,23,43,12,17,4,15,1,,1,,,,,0,,,,1,,,,,,,
0860715,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,2
1010013,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
1010014,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,
1010015,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1030130,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
1040150,1,15,,6,0,3,1,,1,,1,3,1,1,4,2,5,,,3,1,1,1,,3,1,,,,,
1040155,1,1,5,2,1,,,,3,,6,29,15,,1,,,,,,,,,,,,,,,,
1070180,,,,,,,,,,,,,,,,1,,,,1,,,,3,,2,,,5,,3
1070181,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1070185,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1070195,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1070300,16,10,6,5,29,2,11,3,11,3,24,4,6,5,22,4,40,8,24,4,7,20,7,9,5,15,6,27,12,17,8
1080202,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1080206,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1080250,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080252,2,,1,3,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,
1080254,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
1080256,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1090100,,1,,1,,8,6,,,,6,,17,,,,1,,,,,,,,,,,,,,
1090120,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090121,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140080,6,4,9,5,4,9,10,7,5,4,1,2,2,,,4,,5,3,10,6,,2,2,5,,1,6,,2,6
1140081,1,4,,,,,2,,1,2,,,,1,,1,1,1,,,,,,1,4,,,1,1,,1
1140082,31,1,12,17,265,5,46,10,37,91,12,27,29,34,33,24,43,17,8,12,27,17,42,24,32,73,21,18,16,22,19
1150026,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1150027,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1150030,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
1150067,8,1,,,,,,,,,,0,4,4,,,2,,,,,,,,,,,,,,
120,116,11,,1,11,,,,6,,1,,2,,1,1,,101,,,2,,,,,,,,,,
122,50,89,92,71,61,72,71,65,55,62,75,59,53,78,90,59,41,71,59,64,46,25,34,47,36,35,51,34,26,29,54
126,84,106,117,21,129,153,98,141,121,128,134,115,147,142,146,107,156,133,159,146,188,145,247,219,310,305,363,384,303,378,341
1270015,,,,,,,,,,1,1,1,1,1,2,,1,2,2,2,2,,2,3,,2,,2,4,4,4
1270045,,,3,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,
130,4,1,14,17,14,17,10,17,15,13,13,7,13,12,15,10,23,10,12,13,10,7,5,11,19,15,15,18,11,10,12
1490059,3,5,11,2,,,,,3,11,3,5,7,6,6,2,1,2,4,2,2,4,,3,,,,1,5,3,1
1490097,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,11,10,20
1490098,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2,25,47
1490107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7
1490228,,,,,4,5,6,,1,3,,4,,,,,,2,,,,,1,,2,1,1,1,3,,1
1490275,,,,,,1,1,,4,1,,,1,,,,,,,,,,,,,,,,,,
1490277,12,9,13,15,6,13,7,15,12,7,11,4,35,43,19,14,17,18,14,1,40,7,8,10,11,33,,6,9,3,
1490281,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490283,,,,,,2,,,2,,,,,,,1,,1,,,,,3,1,,,,,1,0,1
1490313,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1490481,,2,14,4,,,,,1,9,7,15,10,11,,3,8,9,7,3,2,5,13,2,,3,17,17,1,8,5
1490482,1,6,3,11,,,,,,5,7,5,1,6,3,5,2,6,4,3,3,104,4,15,3,3,12,3,5,2,1
1490842,,,,,,2,,,,,0,,,,,1,,1,,,,,,,,,,,1,,
1490843,,,,,,,,1,,,,2,1,,,,,,,1,,,,,,,,,,,
1494990,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
1495050,2,1,,2,2,,1,3,,1,2,,,,1,,,,1,,,,,1,,1,,5,1,,
1495051,11,7,0,1,1,4,3,9,,5,3,3,4,2,1,,6,,6,,5,2,,5,,,6,6,1,3,
1495052,6,5,6,8,3,5,8,10,7,3,,8,3,8,4,4,1,1,7,1,8,4,,1,3,3,9,4,2,4,1
1495053,7,5,6,4,4,8,3,8,1,8,4,3,5,2,1,3,1,5,1,,3,3,2,7,,4,4,4,,3,
1495054,8,10,15,2,7,7,6,12,7,9,1,8,1,3,3,4,6,2,10,3,7,2,1,,1,2,26,8,,,
1495055,4,2,7,6,9,5,8,2,10,7,3,2,5,8,,2,5,2,6,16,,,,,,4,8,3,4,3,3
1495056,3,1,2,2,1,4,3,,2,1,1,3,3,,,,,2,,,1,2,1,,,2,4,,,,
1495057,4,2,2,4,1,,5,1,5,2,1,1,2,1,1,2,,1,,5,,1,1,,,1,3,2,,3,2
1495070,,,1,,,,,1,,,1,1,1,,,,,,,1,,,,1,,,,,,,
1495072,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
1495098,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,
1495100,,2,,,,,3,2,3,2,1,1,3,1,1,1,2,1,5,,2,,,,1,,5,4,1,,
1495101,3,,2,1,4,3,7,1,5,2,4,3,3,3,1,,8,,,,1,1,3,2,,4,6,6,1,3,
1495102,,,4,4,,3,3,4,4,1,1,5,3,3,2,2,5,,1,,3,,,,,1,7,4,1,9,
1495103,,,1,,2,,1,,,2,2,,1,,,,1,2,,,2,,1,,,,,1,,2,3
1495150,2,4,3,,2,2,3,2,1,3,2,2,1,,,,3,2,1,1,,,,,,,,,,,
1495151,10,5,7,3,,7,2,4,6,1,6,1,2,2,2,2,5,4,6,3,5,3,,1,,1,,,,,
1495152,4,5,4,7,2,4,2,9,5,,3,2,3,8,1,1,4,1,5,1,1,4,1,2,1,1,,,,,
1495175,3,6,3,4,,27,,,4,11,5,4,1,2,5,2,5,2,7,5,4,1,4,3,,7,6,5,3,7,1
1495177,1,6,4,1,,18,3,13,9,9,2,5,3,1,6,4,2,5,10,,1,,,7,,1,8,2,5,5,
1495180,2,2,2,1,4,1,,,12,2,1,2,3,2,3,3,1,1,3,1,1,3,1,,1,,5,1,1,,
1495182,4,,3,4,1,1,1,3,4,1,1,3,3,1,2,,4,1,2,,1,,2,0,3,,5,1,1,,
1495201,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1495225,1,4,1,,,,,,,,,,,,,,,1,,,,,,1,1,4,,,4,1,
1495226,,4,,,,,,,,,,,,,,,1,3,5,1,,,,3,1,3,4,,,,
1495250,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,7,1
1495275,2,2,1,13,3,1,1,,5,3,1,4,2,5,,2,1,1,,2,,,3,3,,,,,,,
1495276,5,4,3,4,3,1,1,1,3,3,,1,4,4,,4,,2,,2,,2,,2,,3,4,1,1,2,1
1495277,9,12,8,4,2,10,6,1,5,4,11,6,,1,1,3,7,7,3,6,9,1,,,,3,6,,1,9,1
1495278,6,7,5,12,3,7,4,4,7,5,1,2,5,6,3,5,3,9,,6,5,3,2,,,4,16,,,,4
1495279,,,,1,2,2,,,,,,,1,1,,2,,3,,,3,1,1,,,2,3,,,1,
1495280,2,3,2,2,2,2,4,,,1,2,1,2,1,1,,1,1,3,,1,,2,,2,2,2,,,1,1
1495284,,0,,,2,,,,,,1,,2,1,,1,1,1,,1,,1,1,,,,1,1,,2,
1495286,1,1,,0,1,3,,,,,3,3,,,,1,2,1,2,,,,,,,,,,,,
1495299,2,2,3,1,2,1,,,4,1,3,3,,,,,1,4,2,,1,,,3,,1,,,,,
1495300,3,4,2,3,1,3,0,2,5,,,2,2,3,,1,3,1,1,4,,2,,1,2,2,,4,3,3,
1495301,3,8,3,1,8,9,4,2,7,5,6,4,3,3,4,1,13,1,,,,3,,2,5,1,,,,,
1495302,4,1,8,3,2,1,5,7,1,1,,,0,1,1,,2,2,3,,,1,2,2,1,1,3,,,,
1495304,,,,2,,1,,1,1,1,1,,,1,,1,,,,2,,,,,,1,2,2,,,
1495310,1,1,3,,1,2,1,2,1,3,1,1,,1,2,,2,,,1,,,,,,,2,2,1,1,1
1495400,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,,
1495410,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495500,,,3,3,,1,,1,,1,,,1,4,,1,,5,7,5,,,4,,1,,,,,1,1
1495505,,,2,4,5,1,1,1,,1,1,3,4,1,7,,,3,0,1,1,1,2,1,1,2,,1,1,3,3
1495510,,,2,2,7,2,1,2,2,,1,3,5,4,1,,3,1,3,1,3,,1,2,,,,4,,,
1495515,,,,2,,1,0,,2,1,2,2,2,2,1,1,3,,1,,,1,1,1,2,3,1,2,1,,2
1495520,,,2,4,,2,1,,2,1,,2,,,3,1,1,,1,,,,,,,,,,,,
1495525,,,3,2,2,,1,2,1,,2,1,,,,1,,1,2,,2,3,,,1,,,,,,
1495600,,,3,5,5,2,2,4,8,3,4,2,3,5,1,1,,,,,,,,,,,,,,,
1495605,,,4,13,8,16,6,2,,,,,,,,,,,,,,,,,,,,,,,
1495630,,,,,,1,,3,1,,,1,,,,,,,,,,,,,,,,,,,1
1495640,,,,,,,,1,8,1,,2,,8,,,,,,,,,,,,,,,,,
1495645,,,2,2,6,1,2,5,1,,,,,,1,,,,,,,,,,,,,,,,
1495660,,,1,11,4,5,2,2,1,,,,,,,,,,,,,,,,,,,,,,
1500300,6,4,7,6,,,4,2,,,,,,,,,,,,,,,,,,,,,,,
1500301,1,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500302,,1,,,2,1,,2,,,,2,2,,,,,,,,,,,,,,,,,,
1500303,,,,,,6,1,,,1,,,,,,,,,,,,,,,,,,,,,
1502000,47,94,30,84,92,46,73,62,58,91,69,77,114,105,65,74,109,145,177,133,156,158,189,192,208,164,191,219,122,236,190
1520230,,,,,,,,,,,,,,,,,,,3,2,7,2,7,3,11,2,6,4,9,2,3
1520235,,,,,,,,,,,,,,,,,,4,1,23,6,3,9,,,4,10,4,1,7,4
1520240,81,71,5,63,146,9,34,57,52,31,21,15,25,6,45,16,7,5,6,8,4,5,10,209,12,6,4,4,21,20,1
1520250,32,42,68,105,4,76,45,50,55,,98,28,143,40,50,26,43,64,41,57,30,38,59,95,72,97,9,2,18,46,7
1520260,133,105,87,43,118,56,97,74,119,33,94,59,78,30,80,16,61,28,51,143,62,25,23,38,36,43,1,60,25,35,3
1520300,620,502,454,397,516,593,408,475,486,500,490,481,401,559,737,292,463,277,319,427,340,203,434,350,361,394,379,348,460,310,440
1520350,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,
1520400,269,189,81,247,833,166,202,187,420,196,120,157,145,164,300,57,448,99,182,173,172,,,,,,1,,,,
1520405,65,52,117,118,189,171,160,69,108,90,136,81,45,96,175,122,78,119,134,79,123,32,31,38,27,58,23,27,57,23,15
1520420,838,529,164,463,559,336,341,517,346,362,342,344,369,232,372,94,348,149,173,170,186,211,77,313,95,302,211,112,289,172,155
1520430,51,73,75,37,56,42,137,18,47,16,15,5,31,23,15,13,23,7,70,1,43,5,3,21,6,3,24,7,31,3,54
1520450,,,,,,,,,,,,,,,,,,,,18,29,73,25,46,34,55,15,22,36,22,
1520460,,,,,,,,,,,,,,,,,,,12,,28,112,28,88,99,34,12,14,2,,
1520600,257,83,140,75,166,194,103,57,99,66,26,119,55,135,132,145,64,102,111,179,67,99,120,273,136,143,82,140,89,142,186
1520610,36,9,25,20,31,8,52,9,16,13,2,27,11,17,2,31,15,23,7,14,3,1,24,28,22,24,,5,6,35,16
1700425,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1701755,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1701760,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1701825,,,,,,,,1,,1,,4,,2,3,,2,,,,,1,2,0,1,,2,,3,,
1701830,,,,,,,4,,,,1,5,,,4,,6,,,,5,,,,,,,,3,1,4
1701835,,,,,,2,4,,1,5,2,1,,7,,3,,,,,2,,1,2,3,,2,,,,
1701860,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701870,,,,,,,,,,,,,,,,,,,,,1,2,2,,1,,,,6,,
1701880,,,,,,,,,,,,,,,,,,,4,,,3,1,,,1,,,2,4,1
1701890,,,,,,,,,,,,,,,,,,,2,,1,0,5,1,,,2,1,,,1
