SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0590001,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,
0590002,,,,,,12,,,,,,,,,,,,,,45,,,,,,,,,,,
0590007,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,
0590021,,,,,,388,,,,,,,,,,,,,,,,,,,,,,,,,
0640125,1,,,,1,,1,,2,1,,,,1,,,,,,,,,,2,,,,,,,
0640175,,,,,1,1,,,,,,,,,,,,,1,,,1,2,,,,,,,1,
0640303,9,,2,,3,3,,,3,,,2,9,3,,2,0,0,,,,,,2,,,,,,,
0640425,,,,,,,,,,,,,,,,,,,,1,4,2,,,2,,,1,1,5,
0640430,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
0640445,3,1,,,3,3,,,4,,,,4,,,,,,,,,,,,,,,,,,
0640452,2,,,,1,,,,1,,,,,,,1,,,,,3,,,2,,,,1,,,
0640460,4,,,,2,,,,3,,,,,,1,,3,,,,,,,,,,,1,,,
0640462,,,,,,,,1,,,,1,1,2,,,,,,,,,,,,,,,,,
0870805,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090191,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,
1164800,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
1164900,,,,,,5,4,2,26,5,1,5,,2,,,,3,,5,10,4,2,5,2,,,,,,
1164905,,,,,,7,3,25,32,1,1,3,10,14,5,13,15,15,,2,3,17,1,5,1,,,,,,
1164910,,,,,,6,,9,6,,1,1,11,11,,43,7,9,1,1,,14,1,8,9,5,2,5,1,,
1164915,,,,,,36,7,9,64,2,3,11,13,19,16,19,,9,8,11,53,1,,,,,,,,,
1164950,,,,,,,,2,5,1,1,1,,4,3,,5,2,,3,,4,1,3,1,3,,2,1,,
1164955,,,,,,2,1,10,13,,,3,28,3,26,6,37,19,,3,13,33,4,1,3,7,,3,2,,
1164960,,,,,,1,,7,21,6,1,6,3,8,2,46,,,2,3,5,,1,5,,1,,2,5,1,
1164965,,,,,,16,33,62,95,5,4,31,10,3,33,35,,0,1,5,38,53,,4,,,,1,,,
1165000,48,25,14,17,41,16,16,8,3,22,22,28,29,22,30,17,1,14,11,19,29,31,24,17,34,27,15,23,54,13,15
1165001,96,48,26,55,58,19,14,15,60,26,27,25,27,33,24,44,7,21,14,30,54,27,16,33,59,37,17,46,75,43,28
1165002,70,20,31,18,45,27,23,20,41,44,10,18,16,15,5,18,39,22,9,14,27,5,6,15,47,65,4,1,36,13,22
1165003,143,55,43,51,115,74,50,2,6,64,32,64,97,47,39,2,,74,61,63,3,14,18,58,140,129,43,25,64,69,45
1165005,42,,110,10,,,4,408,,4,,40,,,24,8,20,272,8,134,30,6,,,1,16,14,40,802,500,314
1165010,22,19,13,6,17,7,,8,16,4,7,12,11,19,4,9,9,,2,12,9,15,8,5,25,16,4,6,14,9,13
1165012,63,17,10,15,27,20,6,20,22,8,11,28,27,13,25,12,,26,2,4,31,13,15,12,48,29,12,12,25,32,15
1165013,115,74,76,108,119,74,24,,7,47,47,103,196,47,21,,,78,54,100,164,26,59,116,203,67,90,132,196,117,90
1165020,1,2,,,8,12,1,4,6,1,1,1,4,,,,,,,,,,,,,,,,,,
1165021,4,,0,5,6,16,5,10,15,7,,1,,,,,,,,,,,,,,,,,,,
1165050,61,81,19,138,129,860,320,134,83,66,33,10,614,10,420,49,14,189,,30,,10,188,26,47,199,95,96,250,67,114
1165051,311,707,"1,210",390,348,312,320,110,886,412,,8,,385,"1,066",396,63,12,6,20,,22,112,225,335,"1,192",61,227,211,328,"1,076"
1165052,484,381,219,984,594,520,285,298,616,415,663,589,146,"1,421",298,143,33,400,888,273,226,205,"1,193",594,787,890,294,427,"1,259",810,480
1165053,148,179,64,598,492,298,508,270,61,40,290,212,190,130,187,308,118,81,333,108,322,232,199,325,804,350,329,160,76,526,246
1165080,,,,,14,8,,,,,,,,,,,,,,,,,,,,,,,,,
1165081,119,63,8,8,10,,14,,,,90,,,16,,,,,,,,,,,1,8,4,6,4,,
1165082,74,62,112,112,54,73,2,44,,,,,,,,,,,,,,,,10,,,,,,,
1165083,14,14,100,17,82,0,25,22,24,16,12,18,107,2,6,103,4,,2,,106,,276,364,48,86,64,42,46,5,242
1165090,,,,,230,300,160,6,10,14,,36,3,,,,24,,,60,,100,,,,35,2,,,,4
1165095,,100,,,52,428,26,,10,384,,,,,,,,,,,,,,,,,,,,,
1166000,"2,996","2,897","2,876","1,462",46,"3,229","1,777","2,218",877,"3,202","1,888","1,841",819,"1,083","1,163","1,392","3,010","1,725","1,247","1,965",766,"2,058","2,065","2,267","2,534","1,337","1,137",396,"1,862","1,328",994
1166005,,,,,,,,,,,,,,600,200,400,602,36,66,864,222,448,424,8,456,830,23,40,211,14,12
1311200,,,,,,7,0,2,1,,2,2,1,,1,,1,3,,6,2,3,,1,,,2,1,2,2,3
1311300,,,,,,,,2,1,,,,,,,,,1,1,,1,,1,2,,,,,,1,
1311302,,,,,,,,9,5,,2,,,,,,,,,,,1,,1,,1,1,,,,
1311304,,,,,1,1,,,2,,,,,,,,,,,,,1,,1,,,,1,,,
1311306,,,,,,,,4,2,1,,1,1,2,,1,,,3,,2,7,1,1,,1,,1,,,
1311308,,,,,,,,1,1,,,,4,1,3,1,3,2,,1,,,4,2,1,3,7,3,2,,1
1311310,,,,,,1,,2,5,,,5,,,,,,,,,,,,44,2,,4,,,1,11
1330015,40,55,61,44,4,47,18,11,4,123,19,15,45,75,54,14,13,6,18,18,31,84,55,27,16,4,,2,,134,60
1330261,83,36,60,64,33,56,51,60,62,57,78,46,53,46,83,98,43,67,57,34,45,23,37,62,64,73,82,9,70,37,35
1330427,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,
1330428,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
1330429,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,
1330438,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,
1330439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1330440,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,
1330656,1,37,68,22,63,45,37,80,9,5,23,80,2,74,37,43,113,92,34,9,65,95,3,27,74,56,2,43,108,9,7
1330657,1,78,40,114,2,5,,117,2,1,77,64,5,120,24,94,120,,122,120,,201,149,87,206,155,126,147,145,14,
1330680,3,3,4,1,2,,,2,1,4,5,4,1,7,11,1,2,3,8,13,4,10,4,9,1,,,,,,
1330704,25,,4,5,6,17,9,2,18,1,4,1,14,20,10,4,5,,1,,,,,,,,,,,,
1330706,3,12,2,6,23,1,3,4,,5,4,,,2,18,3,4,2,4,3,5,40,1,1,25,,1,6,4,4,3
1500340,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1771055,,,,,,,,,,,,,,,,,,,,,,,,,5,7,3,4,2,,3
