SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0060001,434,378,408,172,590,254,341,256,645,440,75,417,611,336,13,422,276,304,287,336,333,20,202,285,105,64,171,248,87,173,15
0060003,625,997,"1,687","1,189","1,223",956,"1,079",706,437,"1,053","1,049","1,038","1,034",887,669,"1,112",798,"1,111",469,"1,112",721,569,691,"1,329",840,425,846,729,529,592,"1,004"
0060005,238,474,924,"1,055",997,"1,244",707,783,"1,039",819,728,846,508,"1,006",516,557,978,227,206,869,702,269,646,"1,332",453,251,"1,377",546,374,414,586
0060007,363,507,464,675,556,790,484,605,253,489,698,606,647,51,496,313,509,250,402,545,456,182,500,434,402,194,292,74,198,86,765
0060009,366,307,547,212,128,775,234,153,579,141,73,568,456,4,538,597,556,317,105,322,435,289,377,695,276,259,195,426,378,508,
0060011,55,688,"1,013",310,773,676,927,560,"1,082",659,"1,252",955,705,400,373,721,474,367,657,696,759,409,323,652,750,347,465,665,317,583,524
0060013,31,624,930,386,"1,371","2,210","1,065",177,499,"1,129","1,127","1,035","1,289",979,688,991,891,451,799,"1,646",480,265,959,"1,370",695,"1,020",845,571,"1,021",326,993
0060015,84,510,44,274,90,50,13,42,39,135,85,114,62,115,482,189,28,23,12,132,30,102,58,64,33,60,56,162,98,94,49
0060017,234,414,79,228,93,368,101,160,235,159,127,219,157,93,442,46,44,176,185,53,278,123,162,49,192,33,76,201,24,99,8
0060019,320,562,246,295,625,788,625,165,743,580,454,"1,251",229,30,711,939,41,,"1,207",468,119,519,"1,822",554,558,580,818,288,500,150,409
0060021,58,190,219,353,242,242,180,158,206,163,161,907,127,3,526,150,159,121,506,542,5,,372,601,243,302,127,353,136,132,223
0060023,1,"2,758","2,648","1,790","3,573","3,237","2,199","2,913","2,829","2,665",481,"5,990",16,,"5,700",286,14,,"6,002",,,273,"3,738",285,"3,746","2,432","3,015",652,"1,991","1,117","1,955"
