SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0020504,4,7,23,10,11,6,15,6,28,8,14,4,18,14,16,20,20,42,11,13,9,6,15,8,18,20,5,15,30,30,1
0020505,18,16,4,16,9,11,8,12,6,7,19,14,13,9,9,9,21,24,16,5,5,31,18,23,12,14,25,26,12,34,3
0020506,15,7,8,2,4,9,10,11,11,5,1,10,10,6,5,6,8,10,7,7,7,11,3,,,,,,,,
0020507,,,,,,,,,25,15,8,,,1,6,7,25,19,13,1,10,6,19,22,20,25,15,14,31,16,12
0020948,,,,,,,,,11,4,8,4,1,9,3,9,8,5,9,7,3,2,4,7,5,9,2,7,11,4,2
0020960,35,12,23,20,22,23,19,12,9,6,19,12,19,25,23,50,22,12,23,19,13,15,18,38,15,25,20,42,42,11,39
0020961,36,26,32,18,21,67,28,18,23,20,21,35,16,22,30,20,33,19,39,30,17,41,32,50,39,69,7,31,117,31,46
0020962,113,47,198,47,55,57,79,119,83,63,42,46,98,68,33,52,51,58,44,52,53,59,57,63,86,71,61,37,100,74,48
0020963,58,44,43,29,46,56,81,50,65,51,36,61,55,50,49,28,66,45,64,55,30,82,40,58,67,67,52,47,88,79,91
0020964,41,36,48,24,40,69,49,44,34,25,41,44,43,37,43,31,53,42,30,49,37,50,41,37,54,79,51,39,169,96,13
0020965,31,29,37,41,32,34,27,24,48,23,46,38,36,25,40,37,59,36,37,46,27,43,35,45,38,52,45,72,47,45,40
0020966,37,26,30,26,20,37,24,22,27,44,22,31,20,22,31,26,34,25,29,31,24,20,21,23,22,16,43,47,5,17,24
0050001,19,22,,120,110,16,-1,23,24,16,28,31,,3,79,18,12,24,1,8,12,16,17,,24,26,49,64,4,28,19
0050002,280,,,392,380,399,190,272,252,325,275,476,67,69,279,336,454,229,406,279,150,62,,304,440,10,518,333,155,257,351
0050003,2,,,203,65,92,94,75,184,147,99,223,82,247,21,132,97,46,94,224,93,51,91,198,106,123,83,36,86,69,140
0050004,"4,648","5,098","8,146","6,569","4,014","3,659","4,222","3,433","7,119","6,853",902,"4,759","7,521","6,147","9,501","9,134","6,654",31,"6,271","7,062","5,256","3,718","5,206","4,665","14,875","9,367","4,614","5,945","3,861","5,026","5,044"
0050005,"1,320","1,691",829,"1,000","1,241",843,771,"1,257","1,445",996,889,812,"1,368",947,"2,427","1,806",189,48,"1,627","1,139",639,784,"1,064","1,114","1,971","1,299","1,512","1,105",778,"1,571","1,290"
0050006,836,835,669,"1,086",751,995,"1,065",714,912,"1,139",857,"1,018",874,488,913,"1,138",604,"1,166",984,725,444,671,876,"1,110","1,226",590,888,"1,704","1,177",982,"1,007"
0050007,563,447,242,296,335,533,209,361,486,256,177,339,717,250,565,647,577,276,582,472,574,389,636,810,660,607,926,"1,273",237,711,924
0050008,355,,4,557,,567,332,145,334,410,285,268,393,303,284,300,397,481,161,629,757,263,,468,"1,032",,"1,457","1,338",170,581,807
0050009,840,584,373,737,527,505,636,754,705,"1,240",415,523,696,464,758,781,"1,035",497,845,"1,009",614,418,613,779,"1,309",462,"1,291","1,108",62,807,"1,064"
0050010,65,,,37,75,147,116,31,26,43,15,52,45,35,68,110,51,33,19,122,,1,,12,168,33,23,1,1,144,43
0050011,167,71,120,155,69,115,71,63,204,133,,209,263,145,219,322,291,91,361,139,264,314,133,210,653,205,376,541,390,431,349
0050013,115,61,51,23,83,67,163,131,81,229,23,90,95,78,29,77,112,76,393,220,67,116,14,148,212,229,286,195,1,142,139
0050014,,,1,2,,,12,6,5,19,8,,24,7,4,,1,,14,6,10,8,21,27,,,,5,14,6,9
0050015,,6,5,,50,,6,,6,,1,3,,8,1,12,24,,,,,,10,,,,,2,,,
0050016,,,,,12,,6,20,17,,12,21,10,,10,6,,66,16,10,,31,7,1,,2,5,43,,,
0050018,40,,5,43,61,127,211,174,44,,,94,144,46,71,208,189,52,378,20,2,252,139,422,145,,355,132,105,183,155
0050019,,,,,,,,16,57,32,12,59,105,33,81,91,46,48,44,65,45,54,36,61,15,105,8,48,27,96,30
0050020,36,101,21,59,53,20,7,5,116,129,27,53,20,6,29,89,35,65,75,62,3,49,116,45,80,3,59,117,29,131,68
0050021,9,20,4,24,,,,,14,27,13,25,14,61,13,27,27,64,23,32,14,120,5,22,10,50,4,30,9,9,28
0050022,,,1,,,64,8,34,57,77,14,42,73,30,36,46,73,45,7,85,26,16,,44,22,119,119,24,,241,19
0050023,,,,34,40,87,,54,66,80,,113,99,51,37,37,225,67,50,94,,,,51,109,,128,108,235,110,
0050024,3,,,,16,18,1,,4,6,10,11,,11,4,16,6,25,,,10,25,,,25,,24,10,12,30,25
0050025,21,6,17,23,7,33,39,41,80,1,,79,70,35,50,95,58,72,70,23,49,112,50,46,163,10,160,82,17,53,53
0050026,44,12,,42,16,34,57,77,49,11,2,27,40,27,46,57,50,64,65,1,18,60,47,24,157,5,75,77,12,72,124
0050030,57,40,95,-4,4,38,30,6,21,17,16,48,,2,,,,,25,48,15,10,41,57,,48,152,22,39,14,66
0050031,35,535,42,9,6,10,20,9,2,26,7,50,15,6,6,6,20,12,5,27,6,5,18,2,12,18,75,10,30,10,10
0050032,202,82,37,70,233,351,73,70,156,27,205,100,236,1,73,143,143,11,236,53,82,102,104,124,74,299,103,,20,171,105
0050033,59,70,8,31,30,46,79,29,68,45,72,218,12,27,12,111,98,37,46,58,22,13,5,33,11,89,72,37,22,26,69
0050034,17,25,25,53,44,26,31,39,14,46,48,29,3,30,44,31,55,32,30,45,63,18,19,25,19,62,83,30,26,93,87
0050035,25,,15,-15,,,6,,13,,5,5,1,1,,3,46,19,15,,,2,,2,12,22,15,,2,16,15
0050036,4,4,,,,14,,,8,21,,,,1,10,3,20,4,12,5,5,,,,2,,52,,1,16,8
0050037,,10,,,6,9,1,8,3,6,,6,,14,,8,,7,23,21,4,,,,2,17,6,,2,,9
0050044,"1,103",281,100,571,826,"1,551",777,"1,396",904,943,53,741,"1,245","1,142","1,163","1,875",272,,616,726,"1,233",966,538,"1,284","2,285",50,"1,153","1,136",865,"1,100",561
0050045,298,306,108,288,252,95,131,313,619,15,28,387,377,378,278,71,322,243,339,83,95,48,113,88,198,81,316,92,114,199,95
0050046,"2,401","2,572",867,"4,054","3,102",642,"1,012",866,"3,085","1,823","1,597","1,321","1,993","2,469","3,167","3,249","2,570","1,505","3,378","2,343","2,669","1,665","2,776","2,693","5,595",41,"5,254","3,571","3,719","2,294","4,315"
0050047,381,312,62,585,478,361,198,165,494,244,265,860,385,502,608,589,936,38,458,209,339,406,717,397,939,580,472,613,318,587,461
0050048,226,22,18,261,56,152,385,121,376,87,30,253,200,125,240,283,366,342,121,14,1,,34,308,526,289,488,202,189,268,222
0050049,254,187,86,199,232,327,64,166,93,93,142,117,172,172,180,240,205,75,189,46,,,,136,200,205,231,287,97,152,110
0050050,2,,3,187,34,222,97,96,162,45,65,56,87,120,147,124,116,255,3,1,0,,,153,240,380,251,244,14,82,78
0050051,78,57,173,200,50,243,150,218,195,84,206,87,182,130,146,207,245,97,196,125,232,510,50,171,283,268,198,200,228,226,179
0050052,,,,13,29,20,20,27,29,1,22,6,30,5,44,7,25,3,18,17,37,14,14,3,35,38,2,47,8,31,15
0050053,94,6,3,39,65,27,31,49,41,107,,50,41,31,72,49,62,56,47,84,88,29,,88,127,,353,131,4,98,107
