Date,Ventas
1/31/15,"4,173"
2/28/15,"10,667"
3/31/15,797
4/30/15,"2,808"
5/31/15,"5,886"
6/30/15,"4,308"
7/31/15,"6,465"
8/31/15,"1,574"
9/30/15,"1,779"
10/31/15,"40,213"
11/30/15,"20,788"
12/31/15,"32,856"
1/31/16,"32,940"
2/29/16,"38,319"
3/31/16,"22,582"
4/30/16,"6,990"
5/31/16,"3,918"
6/30/16,"3,807"
7/31/16,"2,846"
8/31/16,"1,125"
9/30/16,"125,842"
10/31/16,"12,038"
11/30/16,"102,162"
12/31/16,"28,612"
1/31/17,"5,054"
2/28/17,"70,979"
3/31/17,"4,751"
4/30/17,"5,164"
5/31/17,"1,807"
6/30/17,"3,582"
7/31/17,"2,195"
8/31/17,"2,564"
9/30/17,"199,584"
10/31/17,"3,470"
11/30/17,"35,548"
12/31/17,"89,557"
1/31/18,"3,080"
2/28/18,"1,679"
3/31/18,"1,872"
4/30/18,"2,161"
5/31/18,"1,432"
6/30/18,"2,628"
7/31/18,"2,210"
8/31/18,"2,037"
9/30/18,"129,223"
10/31/18,"23,346"
11/30/18,"6,500"
12/31/18,"144,940"
1/31/19,"3,082"
2/28/19,"9,859"
3/31/19,"5,029"
4/30/19,"3,618"
5/31/19,40
6/30/19,"6,803"
7/31/19,"3,379"
8/31/19,"9,097"
9/30/19,"104,715"
10/31/19,"27,234"
11/30/19,"24,408"
12/31/19,"47,296"
1/31/20,"61,247"
2/29/20,"60,850"
3/31/20,"4,723"
4/30/20,"3,016"
5/31/20,"18,023"
6/30/20,"17,702"
7/31/20,"6,546"
8/31/20,"11,740"
9/30/20,"112,687"
10/31/20,"65,202"
11/30/20,"97,009"
12/31/20,"71,934"
1/31/21,"82,270"
2/28/21,"50,838"
3/31/21,"25,450"
4/30/21,"75,868"
5/31/21,"43,596"
6/30/21,"60,475"
7/31/21,"40,187"
8/31/21,"122,861"
9/30/21,"112,580"
10/31/21,"73,951"
11/30/21,"88,357"
12/31/21,"102,114"
1/31/22,"49,116"
2/28/22,"28,726"
3/31/22,"24,153"
4/30/22,"13,789"
5/31/22,"22,490"
6/30/22,"21,581"
7/31/22,"19,140"
8/31/22,"73,016"
